Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-07,,
Horizontal Delay,3e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.1100% to 51.6100%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.02,,
Vertical Position,-4.98,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-5.6000e-09,0.0530938,0.0395031,-0.00789063
-5.2000e-09,0.0531375,0.0394797,-0.00776562
-4.8000e-09,0.0530375,0.0395,-0.00778125
-4.4000e-09,0.0530719,0.0395172,-0.0078125
-4.0000e-09,0.0531938,0.0395484,-0.007625
-3.6000e-09,0.0530875,0.0395078,-0.00746875
-3.2000e-09,0.0529844,0.0394656,-0.0079375
-2.8000e-09,0.0532156,0.0395484,-0.00717188
-2.4000e-09,0.0531094,0.0395062,-0.00754688
-2.0000e-09,0.0531063,0.0394562,-0.00779688
-1.6000e-09,0.0530219,0.0394531,-0.0078125
-1.2000e-09,0.0531125,0.0395031,-0.00796875
-8.0000e-10,0.0531188,0.0395203,-0.00785938
-4.0000e-10,0.0532156,0.0395313,0.0150625
0.0000e+00,0.0530594,0.0394734,0.124703
4.0000e-10,0.053125,0.0395125,0.29375
8.0000e-10,0.0531469,0.0394906,0.412
1.2000e-09,0.053125,0.0395031,0.457203
1.6000e-09,0.0529906,0.0394875,0.470094
2.0000e-09,0.0531281,0.0395281,0.478984
2.4000e-09,0.053075,0.0395375,0.483375
2.8000e-09,0.0531094,0.0395359,0.483328
3.2000e-09,0.0531,0.0394922,0.481313
3.6000e-09,0.0531781,0.0395422,0.480266
4.0000e-09,0.0531406,0.0395406,0.479563
4.4000e-09,0.0531438,0.0395406,0.480156
4.8000e-09,0.053075,0.0395531,0.48125
5.2000e-09,0.0531688,0.0395672,0.481766
5.6000e-09,0.0530813,0.0395109,0.481719
6.0000e-09,0.0531625,0.0395766,0.482797
6.4000e-09,0.0530906,0.0395172,0.48275
6.8000e-09,0.053125,0.0395422,0.483156
7.2000e-09,0.053125,0.0395297,0.483266
7.6000e-09,0.0531313,0.0395219,0.483313
8.0000e-09,0.0530469,0.0395297,0.483125
8.4000e-09,0.0530688,0.0395453,0.483062
8.8000e-09,0.0531594,0.0395406,0.483547
9.2000e-09,0.0530531,0.0395078,0.484531
9.6000e-09,0.0529906,0.0394609,0.486828
1.0000e-08,0.0531813,0.0395266,0.484203
1.0400e-08,0.0530875,0.0395219,0.476656
1.0800e-08,0.0531313,0.0394578,0.471797
1.1200e-08,0.0530281,0.0394859,0.473766
1.1600e-08,0.0531094,0.0394875,0.477219
1.2000e-08,0.0531188,0.0394984,0.479078
1.2400e-08,0.0531531,0.0395375,0.480016
1.2800e-08,0.0530156,0.0394875,0.480047
1.3200e-08,0.0530656,0.0395281,0.479812
1.3600e-08,0.0531375,0.0395422,0.479484
1.4000e-08,0.0530531,0.0394688,0.479187
1.4400e-08,0.0529969,0.0394422,0.479234
1.4800e-08,0.0531188,0.0395125,0.478516
1.5200e-08,0.0530625,0.0394922,0.477219
1.5600e-08,0.0531031,0.0395125,0.477297
