Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-07,
Horizontal Delay,3.62e-08,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.8600% to 50.8600%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Vertical Position,2.14,
,,
,,
,,
Label,,
TIME,CH1,CH4
3.0600e-08,-0.0581078,-0.0136875
3.1000e-08,-0.0581391,-0.0122031
3.1400e-08,-0.0580797,-0.01375
3.1800e-08,-0.0581,-0.0155703
3.2200e-08,-0.0580672,-0.0170859
3.2600e-08,-0.0580438,-0.01825
3.3000e-08,-0.0581203,-0.0189688
3.3400e-08,-0.0581484,-0.0191406
3.3800e-08,-0.0581031,-0.0195078
3.4200e-08,-0.0581344,-0.0201797
3.4600e-08,-0.0581031,-0.0206797
3.5000e-08,-0.0580813,-0.0208906
3.5400e-08,-0.0580688,-0.0209219
3.5800e-08,-0.0580875,-0.0218906
3.6200e-08,-0.0581141,-0.0227344
3.6600e-08,-0.0581109,-0.023
3.7000e-08,-0.0581141,-0.022
3.7400e-08,-0.0581406,-0.0219922
3.7800e-08,-0.0581,-0.0221406
3.8200e-08,-0.0581094,-0.0228984
3.8600e-08,-0.0580844,-0.0237891
3.9000e-08,-0.0581016,-0.0239453
3.9400e-08,-0.0581016,-0.0239531
3.9800e-08,-0.0581438,-0.0242344
4.0200e-08,-0.0581438,-0.0243047
4.0600e-08,-0.0580906,-0.0242656
4.1000e-08,-0.058075,-0.0252891
4.1400e-08,-0.058075,-0.0259922
4.1800e-08,-0.0580734,-0.0253906
4.2200e-08,-0.0581094,-0.0247109
4.2600e-08,-0.0580828,-0.0248594
4.3000e-08,-0.0581375,-0.025375
4.3400e-08,-0.0581219,-0.0252734
4.3800e-08,-0.0581625,-0.0252969
4.4200e-08,-0.0580234,-0.0255391
4.4600e-08,-0.0573766,-0.0256953
4.5000e-08,-0.0545578,-0.0253359
4.5400e-08,-0.0475078,-0.0254297
4.5800e-08,-0.0348219,-0.0253594
4.6200e-08,-0.0178172,-0.0252813
4.6600e-08,-0.0004625,-0.0249453
4.7000e-08,0.0131359,-0.0251484
4.7400e-08,0.0207688,-0.0249687
4.7800e-08,0.0224781,-0.0247656
4.8200e-08,0.0199094,-0.0242813
4.8600e-08,0.0150766,-0.0244687
4.9000e-08,0.0102594,-0.0243203
4.9400e-08,0.00693437,-0.0240313
4.9800e-08,0.00575312,-0.0234453
5.0200e-08,0.00614844,-0.0227578
5.0600e-08,0.0074125,-0.0214219
5.1000e-08,0.00825625,-0.0210781
5.1400e-08,0.00852344,-0.0208594
5.1800e-08,0.0080875,-0.0207891
5.2200e-08,0.00754062,-0.0203438
5.2600e-08,0.00727344,-0.0199063
5.3000e-08,0.00755938,-0.0193672
5.3400e-08,0.00828438,-0.0184688
5.3800e-08,0.009125,-0.0180703
5.4200e-08,0.0096125,-0.0177422
5.4600e-08,0.00977656,-0.0163906
5.5000e-08,0.00930937,-0.0157812
5.5400e-08,0.00867812,-0.0152188
5.5800e-08,0.00813906,-0.0145625
5.6200e-08,0.00793594,-0.0137891
5.6600e-08,0.00788906,-0.0131562
5.7000e-08,0.00813594,-0.0122031
5.7400e-08,0.00832656,-0.0119219
5.7800e-08,0.00854062,-0.0111953
5.8200e-08,0.00860156,-0.0103359
5.8600e-08,0.00849531,-0.0100781
5.9000e-08,0.00833125,-0.00975781
5.9400e-08,0.008175,-0.00934375
5.9800e-08,0.00809063,-0.00888281
6.0200e-08,0.00808281,-0.00814844
6.0600e-08,0.008125,-0.00775
6.1000e-08,0.00828438,-0.00725
6.1400e-08,0.00826406,-0.00663281
6.1800e-08,0.00819062,-0.00646094
6.2200e-08,0.00801875,-0.00610938
6.2600e-08,0.00783594,-0.00601562
6.3000e-08,0.00766562,-0.00575781
6.3400e-08,0.00755469,-0.0051875
6.3800e-08,0.00751406,-0.00517969
6.4200e-08,0.00755312,-0.00482813
6.4600e-08,0.00719219,-0.0049375
6.5000e-08,0.00541094,-0.00446875
6.5400e-08,0.0001625,-0.00458594
6.5800e-08,-0.0102438,-0.00435156
6.6200e-08,-0.0252766,-0.0041875
6.6600e-08,-0.0423359,-0.00425781
6.7000e-08,-0.0575531,-0.00430469
6.7400e-08,-0.0681063,-0.00428906
6.7800e-08,-0.072325,-0.00446094
6.8200e-08,-0.0723203,-0.00435937
6.8600e-08,-0.0694047,-0.0044375
6.9000e-08,-0.0643953,-0.00435937
6.9400e-08,-0.0596219,-0.00471875
6.9800e-08,-0.0562344,-0.00483594
7.0200e-08,-0.0548891,-0.0051875

