Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-07,
Horizontal Delay,2.62e-08,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.1100% to 51.6100%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.02,
Vertical Position,-4.98,
,,
,,
,,
Label,,
TIME,CH1,CH4
-9.4000e-09,0.0537094,-0.00782813
-9.0000e-09,0.053675,-0.007875
-8.6000e-09,0.0537,-0.00779688
-8.2000e-09,0.0537063,-0.00759375
-7.8000e-09,0.053725,-0.007625
-7.4000e-09,0.0537406,-0.00746875
-7.0000e-09,0.0536281,-0.00778125
-6.6000e-09,0.0537813,-0.00723438
-6.2000e-09,0.0537188,-0.00764063
-5.8000e-09,0.0536344,-0.00770313
-5.4000e-09,0.0536813,-0.00778125
-5.0000e-09,0.0536969,-0.00782813
-4.6000e-09,0.0537625,-0.0075
-4.2000e-09,0.0537156,-0.00773438
-3.8000e-09,0.0536813,-0.00795313
-3.4000e-09,0.0537219,-0.00767188
-3.0000e-09,0.053725,-0.00735938
-2.6000e-09,0.0536813,-0.00767188
-2.2000e-09,0.0536844,-0.00779688
-1.8000e-09,0.0537375,-0.00760938
-1.4000e-09,0.0536625,-0.00760938
-1.0000e-09,0.0536781,-0.00778125
-6.0000e-10,0.0537406,-0.00385937
-2.0000e-10,0.0537188,0.0550625
2.0000e-10,0.0537,0.205953
6.0000e-10,0.0536781,0.360453
1.0000e-09,0.0537094,0.440406
1.4000e-09,0.0537344,0.464953
1.8000e-09,0.0537031,0.4745
2.2000e-09,0.0538219,0.481625
2.6000e-09,0.0537,0.483563
3.0000e-09,0.0537125,0.482187
3.4000e-09,0.0536719,0.480437
3.8000e-09,0.0536844,0.479422
4.2000e-09,0.0537219,0.479187
4.6000e-09,0.0537156,0.48025
5.0000e-09,0.0537188,0.481641
5.4000e-09,0.0537531,0.481016
5.8000e-09,0.0536594,0.480938
6.2000e-09,0.0538125,0.482812
6.6000e-09,0.053725,0.482594
7.0000e-09,0.0536688,0.482875
7.4000e-09,0.053675,0.483125
7.8000e-09,0.0537,0.483125
8.2000e-09,0.0537188,0.482734
8.6000e-09,0.0537313,0.483219
9.0000e-09,0.0537188,0.482969
9.4000e-09,0.0537188,0.485219
9.8000e-09,0.0537375,0.488062
1.0200e-08,0.0537188,0.485922
1.0600e-08,0.0536844,0.478203
1.1000e-08,0.0536875,0.475234
1.1400e-08,0.053675,0.476234
1.1800e-08,0.053675,0.478047
1.2200e-08,0.0537125,0.478609
1.2600e-08,0.0537688,0.479406
1.3000e-08,0.0537563,0.479703
1.3400e-08,0.0537531,0.478859
1.3800e-08,0.0537094,0.4785
1.4200e-08,0.0537156,0.479234
1.4600e-08,0.0536875,0.478531
1.5000e-08,0.0538344,0.477766
1.5400e-08,0.0536281,0.476766
1.5800e-08,0.0536813,0.478156
1.6200e-08,0.0537281,0.478656
1.6600e-08,0.0536938,0.477063
1.7000e-08,0.0537219,0.475172
1.7400e-08,0.0537031,0.473578
1.7800e-08,0.0536969,0.474234
1.8200e-08,0.0537156,0.474422
1.8600e-08,0.0536125,0.474953
