LECROYWaveRunner,41075,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,12-Nov-2024 18:46:29,0                 
Time,Ampl
-1.18808e-08,0.121802
-1.17808e-08,0.1216314
-1.16808e-08,0.1214212
-1.15808e-08,0.121224
-1.14808e-08,0.1211773
-1.13808e-08,0.1212396
-1.12808e-08,0.1212993
-1.11808e-08,0.1213499
-1.10808e-08,0.1214141
-1.09808e-08,0.1214498
-1.08808e-08,0.1214147
-1.07808e-08,0.1213577
-1.06808e-08,0.1213252
-1.05808e-08,0.121272
-1.04808e-08,0.1211319
-1.03808e-08,0.1209763
-1.02808e-08,0.1209198
-1.01808e-08,0.1209413
-1.00808e-08,0.1209944
-9.9808e-09,0.1211164
-9.8808e-09,0.1213239
-9.7808e-09,0.1215769
-9.6808e-09,0.1218188
-9.5808e-09,0.1219972
-9.4808e-09,0.1221081
-9.3808e-09,0.122186
-9.2808e-09,0.1222359
-9.1808e-09,0.1222521
-9.0808e-09,0.1222502
-8.9808e-09,0.1222223
-8.8808e-09,0.1222009
-8.7808e-09,0.12228
-8.6808e-09,0.1224538
-8.5808e-09,0.1226283
-8.4808e-09,0.1227107
-8.3808e-09,0.1227029
-8.2808e-09,0.1227185
-8.1808e-09,0.1228197
-8.0808e-09,0.1229345
-7.9808e-09,0.1229935
-7.8808e-09,0.1230272
-7.7808e-09,0.1230583
-7.6808e-09,0.1230285
-7.5808e-09,0.1228884
-7.4808e-09,0.1226828
-7.3808e-09,0.1224577
-7.2808e-09,0.122258
-7.1808e-09,0.1221256
-7.0808e-09,0.1220381
-6.9808e-09,0.1219648
-6.8808e-09,0.1218895
-6.7808e-09,0.1218318
-6.6808e-09,0.1218318
-6.5808e-09,0.1218694
-6.4808e-09,0.1218759
-6.3808e-09,0.1218707
-6.2808e-09,0.1218869
-6.1808e-09,0.1218792
-6.0808e-09,0.1218467
-5.9808e-09,0.1218253
-5.8808e-09,0.1218175
-5.7808e-09,0.1218396
-5.6808e-09,0.1219019
-5.5808e-09,0.1219641
-5.4808e-09,0.1220374
-5.3808e-09,0.1221626
-5.2808e-09,0.1223021
-5.1808e-09,0.1224376
-5.0808e-09,0.1225667
-4.9808e-09,0.1226478
-4.8808e-09,0.1226517
-4.7808e-09,0.1226102
-4.6808e-09,0.1225784
-4.5808e-09,0.1225874
-4.4808e-09,0.1226899
-4.3808e-09,0.1228514
-4.2808e-09,0.1229656
-4.1808e-09,0.1230506
-4.0808e-09,0.1231706
-3.9808e-09,0.1233029
-3.8808e-09,0.1233904
-3.7808e-09,0.1233989
-3.6808e-09,0.1233152
-3.5808e-09,0.1231848
-3.4808e-09,0.1230875
-3.3808e-09,0.1230071
-3.2808e-09,0.1228858
-3.1808e-09,0.122773
-3.0808e-09,0.1227217
-2.9808e-09,0.1227139
-2.8808e-09,0.1226783
-2.7808e-09,0.1225887
-2.6808e-09,0.1225096
-2.5808e-09,0.1224532
-2.4808e-09,0.1224104
-2.3808e-09,0.1223728
-2.2808e-09,0.1223124
-2.1808e-09,0.122234
-2.0808e-09,0.1221483
-1.9808e-09,0.1220614
-1.8808e-09,0.1219992
-1.7808e-09,0.1219317
-1.6808e-09,0.1218117
-1.5808e-09,0.1217176
-1.4808e-09,0.1217241
-1.3808e-09,0.1217767
-1.2808e-09,0.1218143
-1.1808e-09,0.12185
-1.0808e-09,0.1219103
-9.80801e-10,0.1219674
-8.80801e-10,0.1219719
-7.80801e-10,0.1219609
-6.80801e-10,0.121994
-5.80801e-10,0.1220439
-4.80801e-10,0.1220938
-3.80801e-10,0.1221613
-2.80801e-10,0.1222203
-1.80801e-10,0.1222456
-8.0801e-11,0.1222482
1.9199e-11,0.1222657
1.19199e-10,0.1223215
2.19199e-10,0.1224019
3.19199e-10,0.1224688
4.19199e-10,0.1224966
5.19199e-10,0.1225213
6.19199e-10,0.1225537
7.19199e-10,0.1225712
8.19199e-10,0.1225751
9.19199e-10,0.1225738
1.0192e-09,0.1225278
1.1192e-09,0.1224279
1.2192e-09,0.1223656
1.3192e-09,0.1224337
1.4192e-09,0.1226543
1.5192e-09,0.1229098
1.6192e-09,0.1230629
1.7192e-09,0.1231511
1.8192e-09,0.1232633
1.9192e-09,0.1233444
2.0192e-09,0.1233321
2.1192e-09,0.1232562
2.2192e-09,0.1231375
2.3192e-09,0.1229591
2.4192e-09,0.1227276
2.5192e-09,0.1225369
2.6192e-09,0.1224357
2.7192e-09,0.1223676
2.8192e-09,0.1223442
2.9192e-09,0.1223896
3.0192e-09,0.1224733
3.1192e-09,0.1225459
3.2192e-09,0.1225557
3.3192e-09,0.1225219
3.4192e-09,0.122494
3.5192e-09,0.1224389
3.6192e-09,0.1223397
3.7192e-09,0.1222586
3.8192e-09,0.1222249
3.9192e-09,0.1222651
4.0192e-09,0.1224136
4.1192e-09,0.1226666
4.2192e-09,0.1230123
4.3192e-09,0.1233762
4.4192e-09,0.1236421
4.5192e-09,0.1238289
4.6192e-09,0.1239839
4.7192e-09,0.1240053
4.8192e-09,0.1238477
4.9192e-09,0.1235928
5.0192e-09,0.1232919
5.1192e-09,0.1229825
5.2192e-09,0.1227457
5.3192e-09,0.1226523
5.4192e-09,0.1226692
5.5192e-09,0.1226841
5.6192e-09,0.1226919
5.7192e-09,0.1226932
5.8192e-09,0.1226497
5.9192e-09,0.122638
6.0192e-09,0.1227301
6.1192e-09,0.1228891
6.2192e-09,0.12307
6.3192e-09,0.1232056
6.4192e-09,0.1233016
6.5192e-09,0.1234456
6.6192e-09,0.1235928
6.7192e-09,0.1236421
6.8192e-09,0.1236168
6.9192e-09,0.1235837
7.0192e-09,0.1235662
7.1192e-09,0.1235617
7.2192e-09,0.123563
7.3192e-09,0.1235649
7.4192e-09,0.1235876
7.5192e-09,0.1236252
7.6192e-09,0.1236265
7.7192e-09,0.1235948
7.8192e-09,0.1235487
7.9192e-09,0.1234144
8.0192e-09,0.1231952
8.1192e-09,0.123046
8.2192e-09,0.1230155
8.3192e-09,0.1229902
8.4192e-09,0.1229137
8.5192e-09,0.1228852
8.6192e-09,0.1229507
8.7192e-09,0.1230292
8.8192e-09,0.12307
8.9192e-09,0.1231018
9.0192e-09,0.1230927
9.1192e-09,0.1229675
9.2192e-09,0.1227892
9.3192e-09,0.1226037
9.4192e-09,0.1223598
9.5192e-09,0.1220971
9.6192e-09,0.1218792
9.7192e-09,0.1216787
9.8192e-09,0.1214576
9.9192e-09,0.1212805
1.00192e-08,0.1212312
1.01192e-08,0.1212863
1.02192e-08,0.1214063
1.03192e-08,0.1215691
1.04192e-08,0.1217462
1.05192e-08,0.1218993
1.06192e-08,0.1219888
1.07192e-08,0.1220355
1.08192e-08,0.1220906
1.09192e-08,0.1221399
1.10192e-08,0.1221406
1.11192e-08,0.1221049
1.12192e-08,0.1221217
1.13192e-08,0.1222093
1.14192e-08,0.1223358
1.15192e-08,0.1224279
1.16192e-08,0.1224623
1.17192e-08,0.1225505
1.18192e-08,0.1226283
1.19192e-08,0.1225537
1.20192e-08,0.1223462
1.21192e-08,0.122123
1.22192e-08,0.1219259
1.23192e-08,0.1217514
1.24192e-08,0.1217176
1.25192e-08,0.1218286
1.26192e-08,0.1219849
1.27192e-08,0.1221587
1.28192e-08,0.1223345
1.29192e-08,0.1225064
1.30192e-08,0.1226089
1.31192e-08,0.1225952
1.32192e-08,0.1225362
1.33192e-08,0.1224947
1.34192e-08,0.1224798
1.35192e-08,0.1224363
1.36192e-08,0.1223416
1.37192e-08,0.1222605
1.38192e-08,0.1221607
1.39192e-08,0.1220413
1.40192e-08,0.12209
1.41192e-08,0.1222891
1.42192e-08,0.1224467
1.43192e-08,0.1225103
1.44192e-08,0.1224934
1.45192e-08,0.122507
1.46192e-08,0.122566
1.47192e-08,0.1225187
1.48192e-08,0.1224026
1.49192e-08,0.122328
1.50192e-08,0.1222813
1.51192e-08,0.1222236
1.52192e-08,0.122149
1.53192e-08,0.1220874
1.54192e-08,0.1220835
1.55192e-08,0.1221178
1.56192e-08,0.1221684
1.57192e-08,0.1222398
1.58192e-08,0.1223455
1.59192e-08,0.1225135
1.60192e-08,0.1227425
1.61192e-08,0.122976
1.62192e-08,0.123155
1.63192e-08,0.1232679
1.64192e-08,0.1233697
1.65192e-08,0.1235241
1.66192e-08,0.1237426
1.67192e-08,0.123995
1.68192e-08,0.1242765
1.69192e-08,0.1246358
1.70192e-08,0.1251119
1.71192e-08,0.1256321
1.72192e-08,0.1261095
1.73192e-08,0.1265427
1.74192e-08,0.1269773
1.75192e-08,0.1274015
1.76192e-08,0.1277317
1.77192e-08,0.127993
1.78192e-08,0.1282512
1.79192e-08,0.1285029
1.80192e-08,0.1287727
1.81192e-08,0.1290808
1.82192e-08,0.1293675
1.83192e-08,0.1295634
1.84192e-08,0.1296957
1.85192e-08,0.1298293
1.86192e-08,0.1300018
1.87192e-08,0.1302464
1.88192e-08,0.130535
1.89192e-08,0.1307931
1.90192e-08,0.1309508
1.91192e-08,0.1309754
1.92192e-08,0.1309521
1.93192e-08,0.1309488
1.94192e-08,0.1309307
1.95192e-08,0.1308963
1.96192e-08,0.1308742
1.97192e-08,0.1309326
1.98192e-08,0.1310909
1.99192e-08,0.1312374
2.00192e-08,0.1313471
2.01192e-08,0.1314554
2.02192e-08,0.1315274
2.03192e-08,0.1315527
2.04192e-08,0.13153
2.05192e-08,0.1314625
2.06192e-08,0.1313964
2.07192e-08,0.1313639
2.08192e-08,0.1313808
2.09192e-08,0.1314664
2.10192e-08,0.1316357
2.11192e-08,0.1319347
2.12192e-08,0.1323531
2.13192e-08,0.1327805
2.14192e-08,0.1331833
2.15192e-08,0.1335426
2.16192e-08,0.1338112
2.17192e-08,0.1339571
2.18192e-08,0.1339714
2.19192e-08,0.1339422
2.20192e-08,0.1339597
2.21192e-08,0.1340226
2.22192e-08,0.134153
2.23192e-08,0.134319
2.24192e-08,0.1344734
2.25192e-08,0.1346083
2.26192e-08,0.1347115
2.27192e-08,0.1348172
2.28192e-08,0.1349119
2.29192e-08,0.1350189
2.30192e-08,0.1351389
2.31192e-08,0.1351337
2.32192e-08,0.1350092
2.33192e-08,0.1348743
2.34192e-08,0.1347406
2.35192e-08,0.1345694
2.36192e-08,0.1343456
2.37192e-08,0.1341381
2.38192e-08,0.1340213
2.39192e-08,0.1339902
2.40192e-08,0.1339779
2.41192e-08,0.1339111
2.42192e-08,0.1337995
2.43192e-08,0.1336471
2.44192e-08,0.1334544
2.45192e-08,0.1333091
2.46192e-08,0.1331872
2.47192e-08,0.1329829
2.48192e-08,0.132776
2.49192e-08,0.1326767
2.50192e-08,0.1325723
2.51192e-08,0.1324115
2.52192e-08,0.1323641
2.53192e-08,0.1324821
