Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-07,
Horizontal Delay,3.62e-08,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.8600% to 50.8600%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Vertical Position,2.14,
,,
,,
,,
Label,,
TIME,CH1,CH4
3.0600e-08,-0.0582016,-0.0185391
3.1000e-08,-0.0582016,-0.0154453
3.1400e-08,-0.0581531,-0.0150547
3.1800e-08,-0.0581875,-0.0164062
3.2200e-08,-0.0581484,-0.0173125
3.2600e-08,-0.0581063,-0.0182109
3.3000e-08,-0.0581531,-0.0188125
3.3400e-08,-0.0582188,-0.0190312
3.3800e-08,-0.0581953,-0.0193203
3.4200e-08,-0.0582,-0.0200313
3.4600e-08,-0.0581953,-0.0206094
3.5000e-08,-0.0582297,-0.0209063
3.5400e-08,-0.0581578,-0.0208125
3.5800e-08,-0.0581672,-0.021875
3.6200e-08,-0.0581703,-0.0228281
3.6600e-08,-0.0581703,-0.0229766
3.7000e-08,-0.0581156,-0.0219375
3.7400e-08,-0.0581984,-0.0219219
3.7800e-08,-0.0581672,-0.0222266
3.8200e-08,-0.0581969,-0.0229844
3.8600e-08,-0.0581688,-0.0235703
3.9000e-08,-0.0582,-0.0238906
3.9400e-08,-0.0581484,-0.0239063
3.9800e-08,-0.0581516,-0.0241641
4.0200e-08,-0.0581859,-0.0243047
4.0600e-08,-0.0581391,-0.0244531
4.1000e-08,-0.0581406,-0.0249219
4.1400e-08,-0.0582297,-0.0257422
4.1800e-08,-0.0581531,-0.0253516
4.2200e-08,-0.0581984,-0.0246953
4.2600e-08,-0.0582,-0.0247422
4.3000e-08,-0.0582063,-0.0253203
4.3400e-08,-0.0581422,-0.0252969
4.3800e-08,-0.0581484,-0.0252266
4.4200e-08,-0.0580672,-0.0253437
4.4600e-08,-0.0575438,-0.0255937
4.5000e-08,-0.0550594,-0.0255
4.5400e-08,-0.0484578,-0.0251328
4.5800e-08,-0.0362813,-0.0252734
4.6200e-08,-0.0195188,-0.0252578
4.6600e-08,-0.00200625,-0.0248437
4.7000e-08,0.0120141,-0.0248672
4.7400e-08,0.0202406,-0.0249219
4.7800e-08,0.0225266,-0.0248672
4.8200e-08,0.0203125,-0.0242734
4.8600e-08,0.0155812,-0.0243672
4.9000e-08,0.0105953,-0.0242187
4.9400e-08,0.00695625,-0.0239063
4.9800e-08,0.00549062,-0.0233203
5.0200e-08,0.00580312,-0.0226406
5.0600e-08,0.00704531,-0.0215469
5.1000e-08,0.00801875,-0.0210859
5.1400e-08,0.00832656,-0.0208125
5.1800e-08,0.00792187,-0.0207656
5.2200e-08,0.00729844,-0.0202656
5.2600e-08,0.00699375,-0.0197813
5.3000e-08,0.00722656,-0.0194062
5.3400e-08,0.00794219,-0.0184141
5.3800e-08,0.00879062,-0.0179375
5.4200e-08,0.00933906,-0.0176016
5.4600e-08,0.00953125,-0.0163672
5.5000e-08,0.00907969,-0.0157734
5.5400e-08,0.00842187,-0.0152031
5.5800e-08,0.00784219,-0.0144688
5.6200e-08,0.00758906,-0.0137656
5.6600e-08,0.00765469,-0.0128594
5.7000e-08,0.00795469,-0.0120859
5.7400e-08,0.00818125,-0.0117109
5.7800e-08,0.00840469,-0.0111016
5.8200e-08,0.00843281,-0.0102422
5.8600e-08,0.00827969,-0.00998438
5.9000e-08,0.00803437,-0.00969531
5.9400e-08,0.0078625,-0.00923438
5.9800e-08,0.00776719,-0.00882031
6.0200e-08,0.00779219,-0.00802344
6.0600e-08,0.00785156,-0.00766406
6.1000e-08,0.00799531,-0.00703125
6.1400e-08,0.00802344,-0.0065625
6.1800e-08,0.00798906,-0.00645313
6.2200e-08,0.00779687,-0.00600781
6.2600e-08,0.00756406,-0.00571094
6.3000e-08,0.00735312,-0.00561719
6.3400e-08,0.00730625,-0.0050625
6.3800e-08,0.00726094,-0.00501562
6.4200e-08,0.0073125,-0.00477344
6.4600e-08,0.00701406,-0.00474219
6.5000e-08,0.00546094,-0.00436719
6.5400e-08,0.000648437,-0.00436719
6.5800e-08,-0.00931875,-0.00430469
6.6200e-08,-0.0241,-0.00415625
6.6600e-08,-0.0410703,-0.00414062
6.7000e-08,-0.0564922,-0.00426562
6.7400e-08,-0.0675047,-0.0041875
6.7800e-08,-0.0722625,-0.00424219
6.8200e-08,-0.0723781,-0.00428125
6.8600e-08,-0.0702031,-0.00409375
6.9000e-08,-0.0651844,-0.00434375
6.9400e-08,-0.0602016,-0.00457813
6.9800e-08,-0.0565172,-0.0045625
7.0200e-08,-0.0549203,-0.00510937

