Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-07,
Horizontal Delay,2.62e-08,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.1100% to 51.6100%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.02,
Vertical Position,-4.98,
,,
,,
,,
Label,,
TIME,CH1,CH4
-9.4000e-09,0.0536531,-0.007625
-9.0000e-09,0.05365,-0.0075
-8.6000e-09,0.053675,-0.00764063
-8.2000e-09,0.0536656,-0.00739063
-7.8000e-09,0.0536906,-0.00723438
-7.4000e-09,0.0536844,-0.00739063
-7.0000e-09,0.0536281,-0.00771875
-6.6000e-09,0.0537375,-0.00701562
-6.2000e-09,0.0536594,-0.00725
-5.8000e-09,0.053625,-0.00754688
-5.4000e-09,0.0536688,-0.00759375
-5.0000e-09,0.0536969,-0.00753125
-4.6000e-09,0.053725,-0.0073125
-4.2000e-09,0.0536875,-0.00745313
-3.8000e-09,0.0536281,-0.0075625
-3.4000e-09,0.0536375,-0.00732813
-3.0000e-09,0.0536719,-0.00732813
-2.6000e-09,0.0536281,-0.00751562
-2.2000e-09,0.0536625,-0.00759375
-1.8000e-09,0.0536969,-0.007375
-1.4000e-09,0.0537,-0.0075
-1.0000e-09,0.0536531,-0.00765625
-6.0000e-10,0.0536969,-0.00357813
-2.0000e-10,0.0537125,0.0539375
2.0000e-10,0.053675,0.204391
6.0000e-10,0.0536594,0.359359
1.0000e-09,0.0536344,0.439891
1.4000e-09,0.0536875,0.465078
1.8000e-09,0.053675,0.474672
2.2000e-09,0.0537563,0.481469
2.6000e-09,0.0536406,0.483672
3.0000e-09,0.0536375,0.482547
3.4000e-09,0.0536375,0.480672
3.8000e-09,0.0536344,0.479656
4.2000e-09,0.0536188,0.479328
4.6000e-09,0.0536781,0.480453
5.0000e-09,0.0536594,0.481719
5.4000e-09,0.0536844,0.481688
5.8000e-09,0.0536375,0.481688
6.2000e-09,0.0537438,0.483234
6.6000e-09,0.0536625,0.482859
7.0000e-09,0.0536531,0.48325
7.4000e-09,0.0536188,0.483297
7.8000e-09,0.0536281,0.483391
8.2000e-09,0.0537094,0.483047
8.6000e-09,0.0536656,0.483531
9.0000e-09,0.0536125,0.483281
9.4000e-09,0.0536531,0.485375
9.8000e-09,0.0536906,0.489828
1.0200e-08,0.0536469,0.49075
1.0600e-08,0.0536438,0.483734
1.1000e-08,0.0536844,0.478
1.1400e-08,0.0536656,0.476953
1.1800e-08,0.0536375,0.477953
1.2200e-08,0.0536313,0.478406
1.2600e-08,0.0536531,0.479219
1.3000e-08,0.0536875,0.478719
1.3400e-08,0.0536906,0.478062
1.3800e-08,0.0536656,0.477828
1.4200e-08,0.0537,0.478172
1.4600e-08,0.0536406,0.477875
1.5000e-08,0.0537281,0.47725
1.5400e-08,0.0536125,0.476266
1.5800e-08,0.0536438,0.477422
1.6200e-08,0.0536188,0.477953
1.6600e-08,0.05365,0.476469
1.7000e-08,0.0536688,0.474484
1.7400e-08,0.0536531,0.473187
1.7800e-08,0.0536563,0.473453
1.8200e-08,0.0536906,0.473766
1.8600e-08,0.0536219,0.473719
