Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-07,,
Horizontal Delay,3e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.1100% to 51.6100%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.02,,
Vertical Position,-4.98,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-5.6000e-09,0.0530969,0.0394906,-0.00773438
-5.2000e-09,0.053125,0.0394891,-0.00765625
-4.8000e-09,0.0530656,0.0394781,-0.00776562
-4.4000e-09,0.0530844,0.0394703,-0.00770313
-4.0000e-09,0.0531688,0.0395141,-0.0075625
-3.6000e-09,0.0531875,0.0394828,-0.00748438
-3.2000e-09,0.0531031,0.0394734,-0.00784375
-2.8000e-09,0.0533219,0.0395313,-0.007375
-2.4000e-09,0.0531813,0.0395359,-0.0075
-2.0000e-09,0.05315,0.0394859,-0.00754688
-1.6000e-09,0.0530094,0.0394953,-0.00776562
-1.2000e-09,0.0531219,0.0395141,-0.00782813
-8.0000e-10,0.0531094,0.0395266,-0.00773438
-4.0000e-10,0.0531656,0.0394906,0.0132656
0.0000e+00,0.05315,0.0395,0.120141
4.0000e-10,0.0532,0.0395031,0.289266
8.0000e-10,0.0532219,0.0395141,0.410172
1.2000e-09,0.0531813,0.0395344,0.456641
1.6000e-09,0.0530719,0.0394875,0.469844
2.0000e-09,0.053125,0.0395516,0.478844
2.4000e-09,0.0530594,0.0395328,0.483313
2.8000e-09,0.0531281,0.0395328,0.483609
3.2000e-09,0.05305,0.0394891,0.481359
3.6000e-09,0.0532344,0.0395563,0.480328
4.0000e-09,0.0531844,0.0395141,0.479625
4.4000e-09,0.0531875,0.0395219,0.479984
4.8000e-09,0.0531563,0.0395281,0.481172
5.2000e-09,0.0531781,0.0395516,0.481938
5.6000e-09,0.0531156,0.0394859,0.481656
6.0000e-09,0.0531719,0.0395781,0.48275
6.4000e-09,0.0531313,0.0395203,0.482672
6.8000e-09,0.0531531,0.0395313,0.483156
7.2000e-09,0.0531813,0.0395219,0.483109
7.6000e-09,0.0531563,0.0394813,0.483547
8.0000e-09,0.0530625,0.0394828,0.483094
8.4000e-09,0.0531094,0.0395219,0.483016
8.8000e-09,0.0531844,0.0395203,0.483781
9.2000e-09,0.0531156,0.039475,0.484359
9.6000e-09,0.0529875,0.0394469,0.487609
1.0000e-08,0.0532719,0.0395203,0.492437
1.0400e-08,0.0531625,0.0395203,0.488437
1.0800e-08,0.053175,0.0394953,0.480234
1.1200e-08,0.0530781,0.0394609,0.476781
1.1600e-08,0.0531313,0.0395094,0.477875
1.2000e-08,0.0531094,0.0395266,0.478625
1.2400e-08,0.0532094,0.0395172,0.478875
1.2800e-08,0.0530438,0.0394719,0.478203
1.3200e-08,0.0530906,0.0395391,0.478344
1.3600e-08,0.0531688,0.0395281,0.477938
1.4000e-08,0.053175,0.0394828,0.477828
1.4400e-08,0.0531063,0.0394906,0.478328
1.4800e-08,0.0531531,0.0395203,0.478187
1.5200e-08,0.0531844,0.0395141,0.476297
1.5600e-08,0.0531688,0.0395438,0.476437
