Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,3.62e-08
Sample Interval,4e-10
Record Length,10000
Gating,50.1800% to 50.3300%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,2.14
,
,
,
Label,
TIME,CH1
4.3400e-08,-0.05805
4.3800e-08,-0.0580484
4.4200e-08,-0.0578063
4.4600e-08,-0.0566672
4.5000e-08,-0.0525703
4.5400e-08,-0.0432031
4.5800e-08,-0.0278094
4.6200e-08,-0.00895469
4.6600e-08,0.00850781
4.7000e-08,0.0204312
4.7400e-08,0.0254203
4.7800e-08,0.0244172
4.8200e-08,0.0196125
4.8600e-08,0.0136719
4.9000e-08,0.00880156

