LECROYWaveRunner,41075,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,12-Nov-2024 18:33:47,0                 
Time,Ampl
-1.18022e-08,0.1212831
-1.17022e-08,0.1212059
-1.16022e-08,0.1212013
-1.15022e-08,0.1212416
-1.14022e-08,0.1213382
-1.13022e-08,0.1214647
-1.12022e-08,0.121512
-1.11022e-08,0.1214258
-1.10022e-08,0.1212837
-1.09022e-08,0.1211352
-1.08022e-08,0.1209977
-1.07022e-08,0.1209127
-1.06022e-08,0.1208654
-1.05022e-08,0.1208744
-1.04022e-08,0.1210029
-1.03022e-08,0.1211624
-1.02022e-08,0.1212468
-1.01022e-08,0.1213544
-1.00022e-08,0.1215425
-9.90221e-09,0.1216761
-9.80221e-09,0.1217468
-9.70221e-09,0.1218506
-9.60221e-09,0.1219966
-9.50221e-09,0.1221639
-9.40221e-09,0.122315
-9.30221e-09,0.1224259
-9.20221e-09,0.1224895
-9.10221e-09,0.1225057
-9.00221e-09,0.1225667
-8.90221e-09,0.1226951
-8.80221e-09,0.1227957
-8.70221e-09,0.12288
-8.60221e-09,0.1229805
-8.50221e-09,0.1230979
-8.40221e-09,0.1232023
-8.30221e-09,0.1232263
-8.20221e-09,0.123216
-8.10221e-09,0.1232231
-8.00221e-09,0.1232309
-7.90221e-09,0.1232134
-7.80221e-09,0.1231323
-7.70221e-09,0.1230324
-7.60221e-09,0.1229578
-7.50221e-09,0.1228417
-7.40221e-09,0.1226666
-7.30221e-09,0.1225012
-7.20221e-09,0.1223818
-7.10221e-09,0.1222936
-7.00221e-09,0.1222385
-6.90221e-09,0.1222216
-6.80221e-09,0.1222022
-6.70221e-09,0.1221269
-6.60221e-09,0.1219888
-6.50221e-09,0.1218409
-6.40221e-09,0.1216807
-6.30221e-09,0.1214919
-6.20221e-09,0.1213512
-6.10221e-09,0.1212973
-6.00221e-09,0.1212954
-5.90221e-09,0.1212863
-5.80221e-09,0.1212811
-5.70221e-09,0.1213667
-5.60221e-09,0.1215198
-5.50221e-09,0.1216547
-5.40221e-09,0.1217806
-5.30221e-09,0.1219025
-5.20221e-09,0.1219816
-5.10221e-09,0.1220296
-5.00221e-09,0.1220874
-4.90221e-09,0.1220958
-4.80221e-09,0.1220206
-4.70221e-09,0.1219836
-4.60221e-09,0.122064
-4.50221e-09,0.1221989
-4.40221e-09,0.1223656
-4.30221e-09,0.1226056
-4.20221e-09,0.1228929
-4.10221e-09,0.1231511
-4.00221e-09,0.1233755
-3.90221e-09,0.1235604
-3.80221e-09,0.1236162
-3.70221e-09,0.123563
-3.60221e-09,0.1234644
-3.50221e-09,0.1232957
-3.40221e-09,0.1231303
-3.30221e-09,0.123096
-3.20221e-09,0.1231803
-3.10221e-09,0.1232743
-3.00221e-09,0.1233217
-2.90221e-09,0.1233314
-2.80221e-09,0.1233042
-2.70221e-09,0.1231939
-2.60221e-09,0.1230103
-2.50221e-09,0.1228378
-2.40221e-09,0.1226711
-2.30221e-09,0.1224616
-2.20221e-09,0.1222858
-2.10221e-09,0.1221885
-2.00221e-09,0.122099
-1.90221e-09,0.1219927
-1.80221e-09,0.1219161
-1.70221e-09,0.1219096
-1.60221e-09,0.1219479
-1.50221e-09,0.1219563
-1.40221e-09,0.1219317
-1.30221e-09,0.1219537
-1.20221e-09,0.1220212
-1.10221e-09,0.1220004
-1.00221e-09,0.1219012
-9.02207e-10,0.1218545
-8.02207e-10,0.1218681
-7.02207e-10,0.1218694
-6.02207e-10,0.1218448
-5.02207e-10,0.1218694
-4.02207e-10,0.1219388
-3.02207e-10,0.122005
-2.02207e-10,0.1221016
-1.02207e-10,0.1222216
-2.20698e-12,0.1223286
9.7793e-11,0.1224195
1.97793e-10,0.1225453
2.97793e-10,0.122725
3.97793e-10,0.1229111
4.97793e-10,0.1230674
5.97793e-10,0.1231115
6.97793e-10,0.1230798
7.97793e-10,0.1230875
8.97793e-10,0.1231018
9.97793e-10,0.1231109
1.09779e-09,0.1231563
1.19779e-09,0.1231881
1.29779e-09,0.1231556
1.39779e-09,0.1230999
1.49779e-09,0.1230895
1.59779e-09,0.1231414
1.69779e-09,0.1231816
1.79779e-09,0.1231764
1.89779e-09,0.1231615
1.99779e-09,0.1231076
2.09779e-09,0.1230065
2.19779e-09,0.12288
2.29779e-09,0.122747
2.39779e-09,0.1226387
2.49779e-09,0.1225064
2.59779e-09,0.1223929
2.69779e-09,0.1224104
2.79779e-09,0.1224973
2.89779e-09,0.1225583
2.99779e-09,0.1225583
