LECROYWaveRunner,41075,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,12-Nov-2024 18:46:23,0                 
Time,Ampl
-1.18923e-08,0.1217034
-1.17923e-08,0.1216703
-1.16923e-08,0.1216327
-1.15923e-08,0.1215698
-1.14923e-08,0.1214893
-1.13923e-08,0.1214238
-1.12923e-08,0.1214407
-1.11923e-08,0.1216015
-1.10923e-08,0.1218921
-1.09923e-08,0.122219
-1.08923e-08,0.1224707
-1.07923e-08,0.1225926
-1.06923e-08,0.1225933
-1.05923e-08,0.1224953
-1.04923e-08,0.1223565
-1.03923e-08,0.1222352
-1.02923e-08,0.1221166
-1.01923e-08,0.1219732
-1.00923e-08,0.1219194
-9.99233e-09,0.1220491
-9.89233e-09,0.1222482
-9.79233e-09,0.1224707
-9.69233e-09,0.1227146
-9.59233e-09,0.1228359
-9.49233e-09,0.1228171
-9.39233e-09,0.1228138
-9.29233e-09,0.1228385
-9.19233e-09,0.1228145
-9.09233e-09,0.1227665
-8.99233e-09,0.1227159
-8.89233e-09,0.1226251
-8.79233e-09,0.1225051
-8.69233e-09,0.1223961
-8.59233e-09,0.1223047
-8.49233e-09,0.122243
-8.39233e-09,0.1222002
-8.29233e-09,0.1221639
-8.19233e-09,0.1221263
-8.09233e-09,0.1220861
-7.99233e-09,0.1220446
-7.89233e-09,0.1219375
-7.79233e-09,0.1217598
-7.69233e-09,0.1216126
-7.59233e-09,0.1215289
-7.49233e-09,0.1214407
-7.39233e-09,0.1213985
-7.29233e-09,0.121477
-7.19233e-09,0.1215484
-7.09233e-09,0.121514
-6.99233e-09,0.1215354
-6.89233e-09,0.1216703
-6.79233e-09,0.1218091
-6.69233e-09,0.1219408
-6.59233e-09,0.1220906
-6.49233e-09,0.1222748
-6.39233e-09,0.1225245
-6.29233e-09,0.1228352
-6.19233e-09,0.1231102
-6.09233e-09,0.1232737
-5.99233e-09,0.1233645
-5.89233e-09,0.1234099
-5.79233e-09,0.123419
-5.69233e-09,0.1234352
-5.59233e-09,0.1234877
-5.49233e-09,0.1235442
-5.39233e-09,0.1235935
-5.29233e-09,0.1236797
-5.19233e-09,0.1237751
-5.09233e-09,0.1238659
-4.99233e-09,0.1239736
-4.89233e-09,0.1240293
-4.79233e-09,0.1240196
-4.69233e-09,0.1239534
-4.59233e-09,0.1238412
-4.49233e-09,0.1237096
-4.39233e-09,0.1235104
-4.29233e-09,0.1232445
-4.19233e-09,0.1230129
-4.09233e-09,0.1229111
-3.99233e-09,0.1229202
-3.89233e-09,0.1229332
-3.79233e-09,0.1229182
-3.69233e-09,0.1228826
-3.59233e-09,0.1228158
-3.49233e-09,0.1226893
-3.39233e-09,0.1224817
-3.29233e-09,0.1222307
-3.19233e-09,0.1219466
-3.09233e-09,0.121693
-2.99233e-09,0.1215373
-2.89233e-09,0.1214459
-2.79233e-09,0.1213765
-2.69233e-09,0.1213278
-2.59233e-09,0.1213324
-2.49233e-09,0.1214154
-2.39233e-09,0.1215633
-2.29233e-09,0.1216742
-2.19233e-09,0.1216729
-2.09233e-09,0.1216204
-1.99233e-09,0.1215814
-1.89233e-09,0.1215886
-1.79233e-09,0.1216703
-1.69233e-09,0.1218162
-1.59233e-09,0.1219907
-1.49233e-09,0.1222119
-1.39233e-09,0.1224603
-1.29233e-09,0.1226089
-1.19233e-09,0.1226296
-1.09233e-09,0.1226491
-9.92327e-10,0.1227451
-8.92327e-10,0.1228547
-7.92327e-10,0.1229325
-6.92327e-10,0.1230039
-5.92327e-10,0.1231018
-4.92327e-10,0.1232413
-3.92327e-10,0.1233638
-2.92327e-10,0.1234391
-1.92327e-10,0.1234838
-9.23273e-11,0.1234962
7.67269e-12,0.1234929
1.07673e-10,0.1234657
2.07673e-10,0.1234021
3.07673e-10,0.1233184
4.07673e-10,0.1232289
5.07673e-10,0.1231414
6.07673e-10,0.1230778
7.07673e-10,0.123011
8.07673e-10,0.122891
9.07673e-10,0.1227535
1.00767e-09,0.1225965
1.10767e-09,0.1224071
1.20767e-09,0.1221996
1.30767e-09,0.1219427
1.40767e-09,0.1216988
1.50767e-09,0.1215639
1.60767e-09,0.1215081
1.70767e-09,0.1214816
1.80767e-09,0.121455
1.90767e-09,0.1213992
2.00767e-09,0.1212993
2.10767e-09,0.1211527
2.20767e-09,0.1209841
2.30767e-09,0.1208102
2.40767e-09,0.120661
2.50767e-09,0.1205307
2.60767e-09,0.1204308
2.70767e-09,0.1204133
2.80767e-09,0.1204931
2.90767e-09,0.1206669
3.00767e-09,0.1208628
3.10767e-09,0.1210489
3.20767e-09,0.1212675
3.30767e-09,0.121466
3.40767e-09,0.1216437
3.50767e-09,0.1218532
3.60767e-09,0.1220491
3.70767e-09,0.1221594
3.80767e-09,0.1222327
3.90767e-09,0.1223222
4.00767e-09,0.122413
4.10767e-09,0.1224992
4.20767e-09,0.122605
4.30767e-09,0.1227905
4.40767e-09,0.1230318
4.50767e-09,0.1232043
4.60767e-09,0.123312
4.70767e-09,0.1234547
4.80767e-09,0.1235967
4.90767e-09,0.1236428
5.00767e-09,0.1236162
5.10767e-09,0.1235623
5.20767e-09,0.1234845
5.30767e-09,0.1233755
5.40767e-09,0.1232276
5.50767e-09,0.1231031
5.60767e-09,0.1230713
5.70767e-09,0.1231252
5.80767e-09,0.1231959
5.90767e-09,0.1232562
6.00767e-09,0.1233042
6.10767e-09,0.1233236
6.20767e-09,0.1233249
6.30767e-09,0.1232341
6.40767e-09,0.1229909
6.50767e-09,0.122725
6.60767e-09,0.1225258
6.70767e-09,0.1223624
6.80767e-09,0.1222729
6.90767e-09,0.122293
7.00767e-09,0.1223773
7.10767e-09,0.1224778
7.20767e-09,0.1225524
7.30767e-09,0.122603
7.40767e-09,0.1225991
7.50767e-09,0.1225167
7.60767e-09,0.1224791
7.70767e-09,0.1224947
7.80767e-09,0.1224947
7.90767e-09,0.1225343
8.00767e-09,0.1226069
8.10767e-09,0.1225849
8.20767e-09,0.1223961
8.30767e-09,0.1221075
8.40767e-09,0.1217695
8.50767e-09,0.121442
8.60767e-09,0.1212889
8.70767e-09,0.1213512
8.80767e-09,0.1215704
8.90767e-09,0.1218915
9.00767e-09,0.1222469
9.10767e-09,0.1226445
9.20767e-09,0.1230421
9.30767e-09,0.1232964
9.40767e-09,0.1233801
9.50767e-09,0.1233723
9.60767e-09,0.1233658
9.70767e-09,0.123406
9.80767e-09,0.1234806
9.90767e-09,0.1235909
1.00077e-08,0.1236959
1.01077e-08,0.1236778
1.02077e-08,0.1234838
1.03077e-08,0.12319
1.04077e-08,0.122915
1.05077e-08,0.1226575
1.06077e-08,0.122387
1.07077e-08,0.1221457
1.08077e-08,0.1219732
1.09077e-08,0.121909
1.10077e-08,0.1219531
1.11077e-08,0.1220465
1.12077e-08,0.1221276
