Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-09,,
Horizontal Delay,3.9e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.4900% to 50.500%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0.0318,,
Vertical Scale,0.01,,
Vertical Position,-3.68,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.8600e-08,0.0882297,-1.80641,0.0529391
1.9000e-08,0.0882781,-1.79406,0.0532672
1.9400e-08,0.0882484,-1.79656,0.0530234
1.9800e-08,0.0881844,-1.79875,0.0525797
2.0200e-08,0.0881109,-1.80609,0.0522297
2.0600e-08,0.0881656,-1.80359,0.0520531
2.1000e-08,0.0882062,-1.80172,0.0520609
2.1400e-08,0.0882281,-1.79906,0.0527703
2.1800e-08,0.0881594,-1.80422,0.0549719
2.2200e-08,0.0881812,-1.80266,0.0588641
2.2600e-08,0.0882469,-1.79734,0.0632047
2.3000e-08,0.0882453,-1.80063,0.0670484
2.3400e-08,0.0882625,-1.80078,0.0701094
2.3800e-08,0.0882781,-1.80125,0.0726484
2.4200e-08,0.0881953,-1.80281,0.0752484
2.4600e-08,0.0881625,-1.8025,0.0779484
2.5000e-08,0.08815,-1.80578,0.0796594
2.5400e-08,0.0881937,-1.79703,0.0799953
2.5800e-08,0.0881422,-1.79672,0.0797469
2.6200e-08,0.0881687,-1.80031,0.0797406
2.6600e-08,0.0882406,-1.80375,0.079625
2.7000e-08,0.0883141,-1.80047,0.0792125
2.7400e-08,0.0882953,-1.80437,0.0783938
2.7800e-08,0.0882922,-1.79922,0.0774703
2.8200e-08,0.0882031,-1.80078,0.0766703
2.8600e-08,0.0881094,-1.79937,0.0763422
2.9000e-08,0.0880437,-1.80109,0.0767281
2.9400e-08,0.0881219,-1.80187,0.0778781
2.9800e-08,0.0882094,-1.805,0.0792078
3.0200e-08,0.0883094,-1.80422,0.0801094
3.0600e-08,0.0883641,-1.80125,0.0805156
3.1000e-08,0.0883203,-1.79922,0.0806859
3.1400e-08,0.0881703,-1.80719,0.0807641
3.1800e-08,0.0882312,-1.79656,0.0808969
3.2200e-08,0.0882109,-1.79766,0.0805297
3.2600e-08,0.0882312,-1.79953,0.0790203
3.3000e-08,0.0882453,-1.80453,0.0755969
3.3400e-08,0.0881859,-1.80031,0.0707312
3.3800e-08,0.0881141,-1.80234,0.0661484
3.4200e-08,0.0881109,-1.80031,0.0626141
3.4600e-08,0.0881219,-1.80578,0.0599453
3.5000e-08,0.0882156,-1.80156,0.0578859
3.5400e-08,0.0882953,-1.7975,0.0563813
3.5800e-08,0.0882781,-1.80094,0.0556156
3.6200e-08,0.0881203,-1.80203,0.0552547
3.6600e-08,0.08805,-1.79688,0.0548984
3.7000e-08,0.0880484,-1.80016,0.0545359
3.7400e-08,0.0882062,-1.80391,0.0544047
3.7800e-08,0.0883906,-1.80531,0.0542406
3.8200e-08,0.0885078,-1.79641,0.0542125
3.8600e-08,0.0884703,-1.79906,0.0540391
3.9000e-08,0.0883828,-1.80063,0.0539828
3.9400e-08,0.0882422,-1.80391,0.0539922
