Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-09,,
Horizontal Delay,3.9e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.4900% to 50.500%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0.0318,,
Vertical Scale,0.01,,
Vertical Position,-3.68,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.8600e-08,0.0883047,-1.80547,0.0531125
1.9000e-08,0.088325,-1.79375,0.0534109
1.9400e-08,0.0882828,-1.79672,0.0531281
1.9800e-08,0.0882594,-1.80109,0.0526812
2.0200e-08,0.0882703,-1.80266,0.0523547
2.0600e-08,0.0883297,-1.80234,0.0521031
2.1000e-08,0.0883531,-1.80109,0.0520313
2.1400e-08,0.0883484,-1.79984,0.0527594
2.1800e-08,0.0882781,-1.80344,0.0549516
2.2200e-08,0.0883,-1.80281,0.0588063
2.2600e-08,0.0882844,-1.79625,0.0632078
2.3000e-08,0.0882719,-1.80031,0.0670875
2.3400e-08,0.0882922,-1.80125,0.0702484
2.3800e-08,0.0883297,-1.79875,0.072825
2.4200e-08,0.0883406,-1.80219,0.0753594
2.4600e-08,0.0883656,-1.80219,0.0779906
2.5000e-08,0.0883687,-1.80563,0.0796094
2.5400e-08,0.0883437,-1.79453,0.0798781
2.5800e-08,0.0883063,-1.795,0.079625
2.6200e-08,0.0882672,-1.80063,0.0796109
2.6600e-08,0.0883109,-1.8025,0.0796938
2.7000e-08,0.088325,-1.79937,0.0794016
2.7400e-08,0.0882656,-1.80266,0.0786547
2.7800e-08,0.0882766,-1.79937,0.0777594
2.8200e-08,0.0882625,-1.80094,0.0768047
2.8600e-08,0.0883172,-1.79922,0.0763953
2.9000e-08,0.0883453,-1.80109,0.0766219
2.9400e-08,0.0884,-1.80109,0.0777375
2.9800e-08,0.0884203,-1.80297,0.0790562
3.0200e-08,0.0884234,-1.80484,0.0800875
3.0600e-08,0.0884141,-1.8,0.0806797
3.1000e-08,0.0883672,-1.80016,0.08085
3.1400e-08,0.0882984,-1.80672,0.0809828
3.1800e-08,0.0882812,-1.79469,0.0810281
3.2200e-08,0.0882203,-1.79672,0.0805641
3.2600e-08,0.088275,-1.80047,0.0789438
3.3000e-08,0.0883344,-1.80484,0.0754531
3.3400e-08,0.0883172,-1.80375,0.0706984
3.3800e-08,0.0882734,-1.80281,0.0662203
3.4200e-08,0.0883359,-1.79828,0.0628672
3.4600e-08,0.0883203,-1.80313,0.0601734
3.5000e-08,0.0883672,-1.79906,0.0580969
3.5400e-08,0.0883234,-1.79797,0.0564844
3.5800e-08,0.0882656,-1.80047,0.0556406
3.6200e-08,0.0881609,-1.80313,0.0552516
3.6600e-08,0.0881891,-1.80063,0.0549141
3.7000e-08,0.0882656,-1.80406,0.0545438
3.7400e-08,0.0884297,-1.80406,0.0543828
3.7800e-08,0.0885344,-1.805,0.0543406
3.8200e-08,0.0886922,-1.7975,0.0542766
3.8600e-08,0.0886578,-1.79813,0.0541578
3.9000e-08,0.0885078,-1.79891,0.0541438
3.9400e-08,0.0882719,-1.8025,0.0541219
