Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1.25e+08
Horizontal Delay,6.25e+08
Sample Interval,125000
Record Length,10000
Gating,0.0% to 98.8900%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Vertical Position,3
,
,
,
Label,
FREQUENCY,"MATH<FFT(CH1, HANNING, LOGRMS)>"
0.0000e+00,-20.8687
1.2500e+05,-22.375
2.5000e+05,-23.8781
3.7500e+05,-66.4281
5.0000e+05,-108.978
6.2500e+05,-111.222
7.5000e+05,-113.463
8.7500e+05,-121.075
1.0000e+06,-128.688
1.1250e+06,-124.966
1.2500e+06,-121.244
1.3750e+06,-130.725
1.5000e+06,-140.203
1.6250e+06,-131.762
1.7500e+06,-123.322
1.8750e+06,-124.559
2.0000e+06,-125.797
2.1250e+06,-121.763
2.2500e+06,-117.728
2.3750e+06,-117.069
2.5000e+06,-116.406
2.6250e+06,-117.131
2.7500e+06,-117.853
2.8750e+06,-119.769
3.0000e+06,-121.684
3.1250e+06,-119.444
3.2500e+06,-117.2
3.3750e+06,-118.328
3.5000e+06,-119.456
3.6250e+06,-120.234
3.7500e+06,-121.013
3.8750e+06,-119.722
4.0000e+06,-118.431
4.1250e+06,-117.403
4.2500e+06,-116.372
4.3750e+06,-117
4.5000e+06,-117.628
4.6250e+06,-118.416
4.7500e+06,-119.203
4.8750e+06,-117.884
5.0000e+06,-116.562
5.1250e+06,-115.912
5.2500e+06,-115.263
5.3750e+06,-116.359
5.5000e+06,-117.456
5.6250e+06,-117.041
5.7500e+06,-116.622
5.8750e+06,-118.206
6.0000e+06,-119.791
6.1250e+06,-120.562
6.2500e+06,-121.334
6.3750e+06,-120.622
6.5000e+06,-119.906
6.6250e+06,-119.941
6.7500e+06,-119.972
6.8750e+06,-122.228
7.0000e+06,-124.484
7.1250e+06,-125.028
7.2500e+06,-125.572
7.3750e+06,-123.128
7.5000e+06,-120.684
7.6250e+06,-120.028
7.7500e+06,-119.372
7.8750e+06,-119.409
8.0000e+06,-119.447
8.1250e+06,-121.256
8.2500e+06,-123.066
8.3750e+06,-124.241
8.5000e+06,-125.416
8.6250e+06,-123.606
8.7500e+06,-121.794
8.8750e+06,-120.444
9.0000e+06,-119.091
9.1250e+06,-118.838
9.2500e+06,-118.584
9.3750e+06,-120.834
9.5000e+06,-123.081
9.6250e+06,-124.019
9.7500e+06,-124.953
9.8750e+06,-124.509
1.0000e+07,-124.066
1.0125e+07,-125.209
1.0250e+07,-126.353
1.0375e+07,-131.859
1.0500e+07,-137.366
1.0625e+07,-130.275
1.0750e+07,-123.181
1.0875e+07,-122.878
1.1000e+07,-122.572
1.1125e+07,-120.675
