Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-08
Horizontal Delay,2.76e-08
Sample Interval,4e-10
Record Length,10000
Gating,47.4900% to 52.500%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0.053
Vertical Scale,0.01
Vertical Position,-0.06
,
,
,
Label,
TIME,CH1
-7.2800e-08,0.0668
-7.2400e-08,0.066
-7.2000e-08,0.0652
-7.1600e-08,0.0644
-7.1200e-08,0.0648
-7.0800e-08,0.0652
-7.0400e-08,0.0652
-7.0000e-08,0.0652
-6.9600e-08,0.0656
-6.9200e-08,0.0656
-6.8800e-08,0.0656
-6.8400e-08,0.0656
-6.8000e-08,0.0652
-6.7600e-08,0.0648
-6.7200e-08,0.0648
-6.6800e-08,0.0656
-6.6400e-08,0.066
-6.6000e-08,0.0656
-6.5600e-08,0.0652
-6.5200e-08,0.0648
-6.4800e-08,0.0644
-6.4400e-08,0.0648
-6.4000e-08,0.0648
-6.3600e-08,0.0656
-6.3200e-08,0.0656
-6.2800e-08,0.066
-6.2400e-08,0.066
-6.2000e-08,0.066
-6.1600e-08,0.0656
-6.1200e-08,0.0632
-6.0800e-08,0.0636
-6.0400e-08,0.0656
-6.0000e-08,0.068
-5.9600e-08,0.068
-5.9200e-08,0.0656
-5.8800e-08,0.0636
-5.8400e-08,0.0628
-5.8000e-08,0.064
-5.7600e-08,0.066
-5.7200e-08,0.0672
-5.6800e-08,0.0676
-5.6400e-08,0.066
-5.6000e-08,0.064
-5.5600e-08,0.0632
-5.5200e-08,0.0628
-5.4800e-08,0.0636
-5.4400e-08,0.0656
-5.4000e-08,0.0684
-5.3600e-08,0.0696
-5.3200e-08,0.0696
-5.2800e-08,0.068
-5.2400e-08,0.0656
-5.2000e-08,0.0636
-5.1600e-08,0.0636
-5.1200e-08,0.0632
-5.0800e-08,0.0636
-5.0400e-08,0.0644
-5.0000e-08,0.0656
-4.9600e-08,0.0668
-4.9200e-08,0.066
-4.8800e-08,0.066
-4.8400e-08,0.0648
-4.8000e-08,0.0636
-4.7600e-08,0.0644
-4.7200e-08,0.0644
-4.6800e-08,0.0648
-4.6400e-08,0.0648
-4.6000e-08,0.0652
-4.5600e-08,0.0656
-4.5200e-08,0.0668
-4.4800e-08,0.066
-4.4400e-08,0.0652
-4.4000e-08,0.0652
-4.3600e-08,0.0648
-4.3200e-08,0.0652
-4.2800e-08,0.0652
-4.2400e-08,0.0652
-4.2000e-08,0.0644
-4.1600e-08,0.064
-4.1200e-08,0.064
-4.0800e-08,0.0644
-4.0400e-08,0.0656
-4.0000e-08,0.0664
-3.9600e-08,0.0664
-3.9200e-08,0.0664
-3.8800e-08,0.066
-3.8400e-08,0.0652
