Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-07,,
Horizontal Delay,3e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.1100% to 51.6100%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.02,,
Vertical Position,-4.98,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-5.6000e-09,0.0531063,0.0395219,-0.0076875
-5.2000e-09,0.05315,0.0394953,-0.00775
-4.8000e-09,0.0531156,0.0395,-0.00759375
-4.4000e-09,0.0530656,0.0395406,-0.00770313
-4.0000e-09,0.0531969,0.0395484,-0.00760938
-3.6000e-09,0.0531563,0.0394969,-0.00746875
-3.2000e-09,0.0530781,0.0394859,-0.00773438
-2.8000e-09,0.0533281,0.0395375,-0.00735938
-2.4000e-09,0.0531906,0.0395172,-0.00742188
-2.0000e-09,0.0531438,0.0395016,-0.00775
-1.6000e-09,0.0530313,0.0394703,-0.00776562
-1.2000e-09,0.0531063,0.0395234,-0.00792188
-8.0000e-10,0.0531625,0.0395578,-0.00789063
-4.0000e-10,0.0531938,0.0395391,0.012375
0.0000e+00,0.0530906,0.0394906,0.118016
4.0000e-10,0.053125,0.0395297,0.287422
8.0000e-10,0.0532063,0.0394906,0.408984
1.2000e-09,0.0531875,0.0394719,0.456547
1.6000e-09,0.0531031,0.0395125,0.46975
2.0000e-09,0.0531688,0.0395313,0.478719
2.4000e-09,0.0530656,0.0395406,0.483313
2.8000e-09,0.0531188,0.0395453,0.483234
3.2000e-09,0.0530875,0.0395172,0.481344
3.6000e-09,0.0531531,0.0395516,0.480328
4.0000e-09,0.0530938,0.03955,0.479688
4.4000e-09,0.0531531,0.0395203,0.480031
4.8000e-09,0.053075,0.0394984,0.481203
5.2000e-09,0.0531969,0.039575,0.481844
5.6000e-09,0.0531375,0.0395219,0.481547
6.0000e-09,0.0532375,0.0395859,0.482734
6.4000e-09,0.0531656,0.0395656,0.482781
6.8000e-09,0.0531375,0.0395281,0.483281
7.2000e-09,0.0532063,0.0395219,0.483437
7.6000e-09,0.0531438,0.0395641,0.483625
8.0000e-09,0.0530719,0.0395062,0.483062
8.4000e-09,0.0530938,0.0395141,0.48325
8.8000e-09,0.0531781,0.0395656,0.483547
9.2000e-09,0.0531594,0.0394984,0.484391
9.6000e-09,0.0530125,0.0394562,0.4865
1.0000e-08,0.0533,0.0395766,0.484781
1.0400e-08,0.0531844,0.0395469,0.477297
1.0800e-08,0.0531344,0.0395047,0.472297
1.1200e-08,0.0530313,0.0395141,0.474187
1.1600e-08,0.0531188,0.0395391,0.477578
1.2000e-08,0.0531094,0.039525,0.479656
1.2400e-08,0.0531813,0.0395609,0.480422
1.2800e-08,0.0530938,0.0394984,0.480078
1.3200e-08,0.053125,0.0394953,0.479797
1.3600e-08,0.0532281,0.0395547,0.47975
1.4000e-08,0.0531938,0.0395109,0.479578
1.4400e-08,0.0531031,0.0394797,0.479359
1.4800e-08,0.053125,0.0395359,0.479031
1.5200e-08,0.0531063,0.0395313,0.477812
1.5600e-08,0.0530781,0.0394969,0.477984
