Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-07,
Horizontal Delay,3.62e-08,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.8600% to 50.8600%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Vertical Position,2.14,
,,
,,
,,
Label,,
TIME,CH1,CH4
3.0600e-08,-0.0580359,-0.0174219
3.1000e-08,-0.0580078,-0.0147266
3.1400e-08,-0.0580078,-0.0149297
3.1800e-08,-0.0580188,-0.0163906
3.2200e-08,-0.0579922,-0.0174375
3.2600e-08,-0.0580219,-0.0182266
3.3000e-08,-0.0580641,-0.0189141
3.3400e-08,-0.0580625,-0.0191797
3.3800e-08,-0.0580719,-0.0194609
3.4200e-08,-0.0580922,-0.0200469
3.4600e-08,-0.0580641,-0.0206953
3.5000e-08,-0.0580484,-0.0210781
3.5400e-08,-0.0580344,-0.0208672
3.5800e-08,-0.0580797,-0.0218203
3.6200e-08,-0.0580828,-0.0228984
3.6600e-08,-0.0580844,-0.0231016
3.7000e-08,-0.0580484,-0.0219531
3.7400e-08,-0.0580469,-0.0219063
3.7800e-08,-0.0580109,-0.0223984
3.8200e-08,-0.0580344,-0.0230234
3.8600e-08,-0.0580484,-0.0236563
3.9000e-08,-0.0581016,-0.0239531
3.9400e-08,-0.0580688,-0.0239922
3.9800e-08,-0.058075,-0.0241875
4.0200e-08,-0.0580563,-0.0243672
4.0600e-08,-0.0580328,-0.0244375
4.1000e-08,-0.0580453,-0.0251563
4.1400e-08,-0.0580594,-0.0258437
4.1800e-08,-0.0580703,-0.0254219
4.2200e-08,-0.0580828,-0.0248594
4.2600e-08,-0.0580938,-0.0249063
4.3000e-08,-0.0580922,-0.0252891
4.3400e-08,-0.0580328,-0.0254687
4.3800e-08,-0.0580547,-0.0253516
4.4200e-08,-0.0580063,-0.0253203
4.4600e-08,-0.0577828,-0.0256875
4.5000e-08,-0.0563375,-0.0255547
4.5400e-08,-0.0518516,-0.0255078
4.5800e-08,-0.0423813,-0.0254141
4.6200e-08,-0.0273688,-0.0254609
4.6600e-08,-0.00955469,-0.0249453
4.7000e-08,0.00658594,-0.0250469
4.7400e-08,0.0175953,-0.0251016
4.7800e-08,0.0221516,-0.0250469
4.8200e-08,0.0212266,-0.0243281
4.8600e-08,0.0168047,-0.0243437
4.9000e-08,0.0114797,-0.0243203
4.9400e-08,0.00727656,-0.0240391
4.9800e-08,0.00530469,-0.0235937
5.0200e-08,0.00525,-0.0228437
5.0600e-08,0.00641562,-0.0218281
5.1000e-08,0.00765156,-0.0214453
5.1400e-08,0.00821406,-0.0209063
5.1800e-08,0.00797969,-0.0207266
5.2200e-08,0.00730937,-0.0203359
5.2600e-08,0.006775,-0.0199531
5.3000e-08,0.00676406,-0.0194688
5.3400e-08,0.00731875,-0.0184375
5.3800e-08,0.0082,-0.0180859
5.4200e-08,0.00894531,-0.0176953
5.4600e-08,0.0093625,-0.0164062
5.5000e-08,0.00912813,-0.0160391
5.5400e-08,0.00859062,-0.0154922
5.5800e-08,0.00790313,-0.0148594
5.6200e-08,0.00750937,-0.0139375
5.6600e-08,0.00742656,-0.0132031
5.7000e-08,0.00760312,-0.0122656
5.7400e-08,0.00786562,-0.0119453
5.7800e-08,0.00812344,-0.0112578
5.8200e-08,0.0083,-0.0103203
5.8600e-08,0.00817812,-0.0100625
5.9000e-08,0.00798906,-0.00982813
5.9400e-08,0.0077625,-0.00944531
5.9800e-08,0.0076375,-0.00892969
6.0200e-08,0.00760469,-0.00828906
6.0600e-08,0.0076875,-0.00775
6.1000e-08,0.00781875,-0.00729687
6.1400e-08,0.00787188,-0.00670313
6.1800e-08,0.00782187,-0.00649219
6.2200e-08,0.00767656,-0.00617188
6.2600e-08,0.00755625,-0.00596094
6.3000e-08,0.00735312,-0.00578906
6.3400e-08,0.0072125,-0.00525
6.3800e-08,0.00712187,-0.00529688
6.4200e-08,0.00712187,-0.00499219
6.4600e-08,0.00702812,-0.00491406
6.5000e-08,0.00624531,-0.00469531
6.5400e-08,0.00324687,-0.00465625
6.5800e-08,-0.00419531,-0.00450781
6.6200e-08,-0.0168047,-0.00428125
6.6600e-08,-0.0333063,-0.00421875
6.7000e-08,-0.0501438,-0.00435156
6.7400e-08,-0.0636672,-0.00428125
6.7800e-08,-0.0714609,-0.00460156
6.8200e-08,-0.0723906,-0.00428906
6.8600e-08,-0.0713672,-0.00448437
6.9000e-08,-0.0664281,-0.00433594
6.9400e-08,-0.0610766,-0.00471094
6.9800e-08,-0.05695,-0.00482813
7.0200e-08,-0.0548453,-0.00522656

