Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-07,
Horizontal Delay,2.62e-08,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.1100% to 51.6100%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.02,
Vertical Position,-4.98,
,,
,,
,,
Label,,
TIME,CH1,CH4
-9.4000e-09,0.0531156,-0.00748438
-9.0000e-09,0.0530813,-0.00745313
-8.6000e-09,0.0530375,-0.00751562
-8.2000e-09,0.0530906,-0.007375
-7.8000e-09,0.0531875,-0.00720313
-7.4000e-09,0.0531625,-0.0073125
-7.0000e-09,0.0529844,-0.00765625
-6.6000e-09,0.0532781,-0.00695313
-6.2000e-09,0.0531531,-0.00723438
-5.8000e-09,0.0531594,-0.00757813
-5.4000e-09,0.0530188,-0.00753125
-5.0000e-09,0.0530875,-0.00745313
-4.6000e-09,0.0531281,-0.00715625
-4.2000e-09,0.0531625,-0.00701562
-3.8000e-09,0.0530813,-0.00740625
-3.4000e-09,0.0531281,-0.00742188
-3.0000e-09,0.0531875,-0.00717188
-2.6000e-09,0.0531375,-0.00745313
-2.2000e-09,0.0530031,-0.00748438
-1.8000e-09,0.0530813,-0.00714063
-1.4000e-09,0.0530719,-0.0073125
-1.0000e-09,0.0531094,-0.00754688
-6.0000e-10,0.05305,-0.00370313
-2.0000e-10,0.0531531,0.0525313
2.0000e-10,0.0530906,0.201984
6.0000e-10,0.0531188,0.358078
1.0000e-09,0.0530563,0.439641
1.4000e-09,0.0531563,0.465187
1.8000e-09,0.0531281,0.474516
2.2000e-09,0.0532625,0.481922
2.6000e-09,0.0531563,0.483906
3.0000e-09,0.0531938,0.482672
3.4000e-09,0.0530969,0.480875
3.8000e-09,0.0531219,0.479922
4.2000e-09,0.05305,0.479437
4.6000e-09,0.0530781,0.480609
5.0000e-09,0.0531438,0.481906
5.4000e-09,0.0531469,0.481781
5.8000e-09,0.0530125,0.481453
6.2000e-09,0.0532531,0.483172
6.6000e-09,0.0531125,0.482797
7.0000e-09,0.0531438,0.483422
7.4000e-09,0.0530344,0.483484
7.8000e-09,0.0531188,0.483359
8.2000e-09,0.0531281,0.483141
8.6000e-09,0.0532,0.48375
9.0000e-09,0.0530844,0.483266
9.4000e-09,0.0530844,0.485328
9.8000e-09,0.0531031,0.488625
1.0200e-08,0.0531188,0.488609
1.0600e-08,0.0530125,0.481328
1.1000e-08,0.0531313,0.476562
1.1400e-08,0.0531063,0.476406
1.1800e-08,0.0531156,0.478047
1.2200e-08,0.0530625,0.478563
1.2600e-08,0.0531563,0.479531
1.3000e-08,0.0531188,0.479281
1.3400e-08,0.0531125,0.478672
1.3800e-08,0.053125,0.478437
1.4200e-08,0.0531656,0.479
1.4600e-08,0.0531313,0.478578
1.5000e-08,0.0532281,0.477922
1.5400e-08,0.0531656,0.47675
1.5800e-08,0.0531594,0.477984
1.6200e-08,0.0530875,0.478656
1.6600e-08,0.0531438,0.477437
1.7000e-08,0.0530344,0.475109
1.7400e-08,0.0530625,0.473391
1.7800e-08,0.05315,0.474313
1.8200e-08,0.0531531,0.474578
