LECROYWaveRunner,41075,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,12-Nov-2024 18:43:48,0                 
Time,Ampl
-1.187e-08,0.1219401
-1.177e-08,0.1218441
-1.167e-08,0.1217845
-1.157e-08,0.1217877
-1.147e-08,0.1217838
-1.137e-08,0.1217592
-1.127e-08,0.1217631
-1.117e-08,0.1217734
-1.107e-08,0.1217358
-1.097e-08,0.1217053
-1.087e-08,0.1217144
-1.077e-08,0.1216645
-1.067e-08,0.1215153
-1.057e-08,0.1213518
-1.047e-08,0.1212701
-1.037e-08,0.1212973
-1.027e-08,0.1213181
-1.017e-08,0.1213265
-1.007e-08,0.1214796
-9.97003e-09,0.1217883
-9.87003e-09,0.1220867
-9.77003e-09,0.1222703
-9.67003e-09,0.1223916
-9.57003e-09,0.122411
-9.47003e-09,0.1222605
-9.37003e-09,0.1220776
-9.27003e-09,0.1219388
-9.17003e-09,0.1217961
-9.07003e-09,0.1216612
-8.97003e-09,0.1215769
-8.87003e-09,0.121573
-8.77003e-09,0.1215925
-8.67003e-09,0.1215639
-8.57003e-09,0.1215393
-8.47003e-09,0.1215276
-8.37003e-09,0.1214822
-8.27003e-09,0.1214083
-8.17003e-09,0.121322
-8.07003e-09,0.1212338
-7.97003e-09,0.1211255
-7.87003e-09,0.121047
-7.77003e-09,0.1210833
-7.67003e-09,0.1212189
-7.57003e-09,0.1213758
-7.47003e-09,0.121479
-7.37003e-09,0.1215782
-7.27003e-09,0.121778
-7.17003e-09,0.1220089
-7.07003e-09,0.1221496
-6.97003e-09,0.1221924
-6.87003e-09,0.1221853
-6.77003e-09,0.1221464
-6.67003e-09,0.1220536
-6.57003e-09,0.1219732
-6.47003e-09,0.1219816
-6.37003e-09,0.1220089
-6.27003e-09,0.122005
-6.17003e-09,0.1220387
-6.07003e-09,0.1221302
-5.97003e-09,0.1222112
-5.87003e-09,0.1222904
-5.77003e-09,0.1223942
-5.67003e-09,0.1224713
-5.57003e-09,0.1225005
-5.47003e-09,0.1225018
-5.37003e-09,0.1224947
-5.27003e-09,0.1224675
-5.17003e-09,0.1224045
-5.07003e-09,0.1223215
-4.97003e-09,0.1222547
-4.87003e-09,0.1222482
-4.77003e-09,0.1222845
-4.67003e-09,0.1223345
-4.57003e-09,0.1224279
-4.47003e-09,0.1225712
-4.37003e-09,0.122675
-4.27003e-09,0.1226478
-4.17003e-09,0.1225998
