Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-08,
Horizontal Delay,1.29557e-06,
Sample Interval,4e-10,
Record Length,10000,
Gating,16.7200% to 21.7300%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0.0708,
Vertical Scale,0.02,
Vertical Position,-1.02,
,,
,,
,,
Label,,
TIME,CH1,CH3
-3.5630e-08,0.0892625,-0.00079375
-3.5230e-08,0.0891969,-0.000715625
-3.4830e-08,0.0892344,-0.000659375
-3.4430e-08,0.0892469,-0.000715625
-3.4030e-08,0.0893031,-0.00069375
-3.3630e-08,0.0892906,-0.000765625
-3.3230e-08,0.0892906,-0.00071875
-3.2830e-08,0.0891906,-0.000825
-3.2430e-08,0.0891406,-0.000853125
-3.2030e-08,0.0891281,-0.000796875
-3.1630e-08,0.0892063,-0.000753125
-3.1230e-08,0.0892312,-0.00071875
-3.0830e-08,0.0892719,-0.0006875
-3.0430e-08,0.0893063,-0.0006875
-3.0030e-08,0.0892938,-0.00071875
-2.9630e-08,0.0892781,-0.0006625
-2.9230e-08,0.0891813,-0.000746875
-2.8830e-08,0.089175,-0.000809375
-2.8430e-08,0.0891875,-0.0007875
-2.8030e-08,0.0892187,-0.00080625
-2.7630e-08,0.0892844,-0.000715625
-2.7230e-08,0.0893031,-0.000815625
-2.6830e-08,0.0893219,-0.000665625
-2.6430e-08,0.0892563,-0.000709375
-2.6030e-08,0.0892344,-0.000653125
-2.5630e-08,0.0892656,-0.0007
-2.5230e-08,0.0892594,-0.000715625
-2.4830e-08,0.0892531,-0.000740625
-2.4430e-08,0.0892469,-0.000753125
-2.4030e-08,0.089225,-0.000771875
-2.3630e-08,0.0891219,-0.00103125
-2.3230e-08,0.0890937,-0.00119063
-2.2830e-08,0.0891813,-0.00100625
-2.2430e-08,0.0891625,-0.000690625
-2.2030e-08,0.08925,-0.000425
-2.1630e-08,0.089225,-0.000446875
-2.1230e-08,0.0892406,-0.000534375
-2.0830e-08,0.0892906,-0.00061875
-2.0430e-08,0.0892938,-0.00065625
-2.0030e-08,0.0892219,-0.00075
-1.9630e-08,0.0891219,-0.000778125
-1.9230e-08,0.089125,-0.0007625
-1.8830e-08,0.0892781,-0.000746875
-1.8430e-08,0.0893188,-0.000853125
-1.8030e-08,0.0892969,-0.00079375
-1.7630e-08,0.0892594,-0.0007125
-1.7230e-08,0.0891563,-0.000634375
-1.6830e-08,0.0891438,-0.000725
-1.6430e-08,0.0892125,-0.00079375
-1.6030e-08,0.089275,-0.00075
-1.5630e-08,0.0892,-0.000721875
-1.5230e-08,0.0892063,-0.000775
-1.4830e-08,0.0892344,-0.00076875
-1.4430e-08,0.0892656,-0.000859375
-1.4030e-08,0.0892563,-0.000740625
-1.3630e-08,0.0892469,-0.00070625
-1.3230e-08,0.0892156,-0.00078125
-1.2830e-08,0.0892437,-0.000721875
-1.2430e-08,0.0892437,-0.00059375
-1.2030e-08,0.0892219,-0.00063125
-1.1630e-08,0.0892,-0.000796875
-1.1230e-08,0.0892437,-0.0008625
-1.0830e-08,0.0892375,-0.000775
-1.0430e-08,0.0892281,-0.0006875
