Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-08,
Horizontal Delay,1.29557e-06,
Sample Interval,4e-10,
Record Length,10000,
Gating,16.7200% to 21.7300%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0.0708,
Vertical Scale,0.02,
Vertical Position,-1.02,
,,
,,
,,
Label,,
TIME,CH1,CH3
-3.5630e-08,0.088,-0.0024
-3.5230e-08,0.0888,-0.0024
-3.4830e-08,0.0896,-0.0024
-3.4430e-08,0.0904,-0.0008
-3.4030e-08,0.0896,0
-3.3630e-08,0.0896,0.0008
-3.3230e-08,0.0904,0.0008
-3.2830e-08,0.0896,0.0008
-3.2430e-08,0.0896,0.0008
-3.2030e-08,0.0888,-0.0016
-3.1630e-08,0.0888,-0.0024
-3.1230e-08,0.0896,-0.0024
-3.0830e-08,0.0904,-0.0016
-3.0430e-08,0.0904,-0.0008
-3.0030e-08,0.0896,-0.0008
-2.9630e-08,0.0904,0.0008
-2.9230e-08,0.0904,0.0008
-2.8830e-08,0.0896,0.0008
-2.8430e-08,0.0904,0
-2.8030e-08,0.0896,-0.0008
-2.7630e-08,0.0896,0
-2.7230e-08,0.0896,-0.0008
-2.6830e-08,0.088,-0.0016
-2.6430e-08,0.0888,-0.0016
-2.6030e-08,0.0888,-0.0016
-2.5630e-08,0.088,0.0008
-2.5230e-08,0.0888,0
-2.4830e-08,0.0896,0.0008
-2.4430e-08,0.0904,0.0008
-2.4030e-08,0.0904,0.0008
-2.3630e-08,0.0904,0
-2.3230e-08,0.0904,-0.0016
-2.2830e-08,0.0896,-0.0024
-2.2430e-08,0.0888,-0.0016
-2.2030e-08,0.0872,-0.0008
-2.1630e-08,0.088,-0.0016
-2.1230e-08,0.0888,-0.0008
-2.0830e-08,0.0896,0
-2.0430e-08,0.0896,0.0008
-2.0030e-08,0.0896,0.0008
-1.9630e-08,0.0888,0.0008
-1.9230e-08,0.0888,-0.0008
-1.8830e-08,0.0888,-0.0008
-1.8430e-08,0.0896,-0.0008
-1.8030e-08,0.0912,-0.0016
-1.7630e-08,0.0904,-0.0016
-1.7230e-08,0.0896,-0.0016
-1.6830e-08,0.0888,0
-1.6430e-08,0.0888,0.0008
-1.6030e-08,0.0896,0
-1.5630e-08,0.0912,0.0008
-1.5230e-08,0.0904,0.0008
-1.4830e-08,0.0896,0
-1.4430e-08,0.0872,0
-1.4030e-08,0.0856,-0.0016
-1.3630e-08,0.0864,-0.0016
-1.3230e-08,0.0896,-0.0008
-1.2830e-08,0.0912,-0.0008
-1.2430e-08,0.0912,-0.0008
-1.2030e-08,0.092,0
-1.1630e-08,0.0912,0.0008
-1.1230e-08,0.0904,0.0008
-1.0830e-08,0.0896,0.0008
-1.0430e-08,0.0888,0.0008
-1.0030e-08,0.088,-0.0008
-9.6300e-09,0.088,-0.0008
-9.2300e-09,0.0896,-0.0008
-8.8300e-09,0.0904,-0.0016
-8.4300e-09,0.0912,-0.0008
-8.0300e-09,0.0904,-0.0016
-7.6300e-09,0.0896,-0.0008
-7.2300e-09,0.088,0.0008
-6.8300e-09,0.0864,0.0008
