Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-09,
Horizontal Delay,8.28e-09,
Sample Interval,4e-10,
Record Length,10000,
Gating,49.4900% to 50.500%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0.0602,
Vertical Scale,0.02,
Vertical Position,-3.42,
,,
,,
,,
Label,,
TIME,CH1,CH4
-1.2120e-08,0.0893062,-0.003425
-1.1720e-08,0.0895125,-0.0033125
-1.1320e-08,0.0894594,-0.0033125
-1.0920e-08,0.0894344,-0.00335
-1.0520e-08,0.0893562,-0.00336562
-1.0120e-08,0.0894,-0.00335625
-9.7200e-09,0.0894156,-0.00334375
-9.3200e-09,0.0894781,-0.00328437
-8.9200e-09,0.0893844,-0.003375
-8.5200e-09,0.0894187,-0.0033
-8.1200e-09,0.0894656,-0.00325312
-7.7200e-09,0.0893937,-0.00330937
-7.3200e-09,0.0892875,-0.00339062
-6.9200e-09,0.0894,-0.00330625
-6.5200e-09,0.0893781,-0.00333125
-6.1200e-09,0.0893687,-0.00334062
-5.7200e-09,0.0893031,-0.00338125
-5.3200e-09,0.0893781,-0.00328437
-4.9200e-09,0.0893969,-0.00329375
-4.5200e-09,0.0893906,-0.00335312
-4.1200e-09,0.0893969,-0.00334062
-3.7200e-09,0.0894031,-0.00327188
-3.3200e-09,0.089375,-0.00334375
-2.9200e-09,0.0894594,-0.00322812
-2.5200e-09,0.0893656,-0.00335625
-2.1200e-09,0.0894094,-0.00333125
-1.7200e-09,0.0893812,-0.00338125
-1.3200e-09,0.0894375,-0.00346875
-9.2000e-10,0.0894125,-0.00035
-5.2000e-10,0.0893625,0.0199375
-1.2000e-10,0.0894625,0.0573469
2.8000e-10,0.089425,0.0874656
6.8000e-10,0.0893562,0.100706
1.0800e-09,0.0895719,0.105709
1.4800e-09,0.0894906,0.10805
1.8800e-09,0.0894562,0.109241
2.2800e-09,0.0893844,0.109441
2.6800e-09,0.0894125,0.109219
3.0800e-09,0.0894375,0.108803
3.4800e-09,0.0894844,0.108388
3.8800e-09,0.0893625,0.108244
4.2800e-09,0.0894375,0.108459
4.6800e-09,0.0894375,0.108553
5.0800e-09,0.0894531,0.108425
5.4800e-09,0.0893625,0.108484
5.8800e-09,0.0894062,0.108631
6.2800e-09,0.0893031,0.108675
6.6800e-09,0.0893062,0.108706
7.0800e-09,0.089275,0.10865
7.4800e-09,0.0894125,0.108706
7.8800e-09,0.0894781,0.108616
8.2800e-09,0.0894312,0.108872
8.6800e-09,0.0894094,0.109184
9.0800e-09,0.0894562,0.109469
9.4800e-09,0.0893625,0.108222
9.8800e-09,0.0895062,0.106613
1.0280e-08,0.0894187,0.105775
1.0680e-08,0.0894375,0.105884
1.1080e-08,0.0894094,0.106106
1.1480e-08,0.0894406,0.106494
1.1880e-08,0.0894312,0.106703
1.2280e-08,0.0894062,0.106472
1.2680e-08,0.0895375,0.106266
1.3080e-08,0.089575,0.106225
1.3480e-08,0.0899219,0.106203
1.3880e-08,0.0924187,0.106341
1.4280e-08,0.0990406,0.106288
1.4680e-08,0.111409,0.106141
1.5080e-08,0.128334,0.106097
1.5480e-08,0.146163,0.106316
1.5880e-08,0.161372,0.106453
1.6280e-08,0.171841,0.106081
1.6680e-08,0.177241,0.105384
1.7080e-08,0.179431,0.105334
1.7480e-08,0.180622,0.105488
1.7880e-08,0.182163,0.105544
1.8280e-08,0.184334,0.105488
1.8680e-08,0.186944,0.105581
1.9080e-08,0.189213,0.105453
1.9480e-08,0.1906,0.105288
1.9880e-08,0.190844,0.105269
2.0280e-08,0.190469,0.105263
2.0680e-08,0.189722,0.105138
2.1080e-08,0.189444,0.104994
2.1480e-08,0.189778,0.104922
2.1880e-08,0.190666,0.104991
2.2280e-08,0.191787,0.104831
2.2680e-08,0.192703,0.104888
2.3080e-08,0.192884,0.104838
2.3480e-08,0.192684,0.104775
2.3880e-08,0.192141,0.104631
2.4280e-08,0.1916,0.104631
2.4680e-08,0.191238,0.104584
2.5080e-08,0.191122,0.104497
2.5480e-08,0.191278,0.104456
2.5880e-08,0.191562,0.104406
2.6280e-08,0.19235,0.104275
2.6680e-08,0.194356,0.10425
2.7080e-08,0.197172,0.104163
2.7480e-08,0.200313,0.104059
2.7880e-08,0.202369,0.103984

