LECROYWaveRunner,41075,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,12-Nov-2024 18:54:04,0                 
Time,Ampl
-1.18203e-08,-0.8384042
-1.17203e-08,-0.8384366
-1.16203e-08,-0.8386234
-1.15203e-08,-0.8387544
-1.14203e-08,-0.8387142
-1.13203e-08,-0.8386494
-1.12203e-08,-0.8386545
-1.11203e-08,-0.8386325
-1.10203e-08,-0.8385287
-1.09203e-08,-0.838412
-1.08203e-08,-0.8383977
-1.07203e-08,-0.8384172
-1.06203e-08,-0.8383925
-1.05203e-08,-0.8384133
-1.04203e-08,-0.8384353
-1.03203e-08,-0.8384457
-1.02203e-08,-0.8384911
-1.01203e-08,-0.8385222
-1.00203e-08,-0.8386221
-9.92033e-09,-0.8387298
-9.82033e-09,-0.8387402
-9.72033e-09,-0.8387635
-9.62033e-09,-0.8388206
-9.52033e-09,-0.8388128
-9.42033e-09,-0.8387051
-9.32033e-09,-0.8385819
-9.22033e-09,-0.8385637
-9.12033e-09,-0.838626
-9.02033e-09,-0.8386351
-8.92033e-09,-0.8385806
-8.82033e-09,-0.8385806
-8.72033e-09,-0.8386403
-8.62033e-09,-0.8386403
-8.52033e-09,-0.8387116
-8.42033e-09,-0.838984
-8.32033e-09,-0.8392111
-8.22033e-09,-0.8392201
-8.12033e-09,-0.8391216
-8.02033e-09,-0.839045
-7.92033e-09,-0.838927
-7.82033e-09,-0.8387285
-7.72033e-09,-0.838613
-7.62033e-09,-0.8387116
-7.52033e-09,-0.8388582
-7.42033e-09,-0.8388115
-7.32033e-09,-0.8387363
-7.22033e-09,-0.8388245
-7.12033e-09,-0.838866
-7.02033e-09,-0.8387869
-6.92033e-09,-0.8387609
-6.82033e-09,-0.8387622
-6.72033e-09,-0.838639
-6.62033e-09,-0.8385015
-6.52033e-09,-0.8385222
-6.42033e-09,-0.8385741
-6.32033e-09,-0.8385624
-6.22033e-09,-0.8384963
-6.12033e-09,-0.8384522
-6.02033e-09,-0.838565
-5.92033e-09,-0.8387505
-5.82033e-09,-0.8388595
-5.72033e-09,-0.8388893
-5.62033e-09,-0.8388816
-5.52033e-09,-0.8388245
-5.42033e-09,-0.8387402
-5.32033e-09,-0.8387376
-5.22033e-09,-0.838757
-5.12033e-09,-0.8387285
-5.02033e-09,-0.8387025
-4.92033e-09,-0.8386896
-4.82033e-09,-0.8387752
-4.72033e-09,-0.8390178
-4.62033e-09,-0.839263
-4.52033e-09,-0.8393369
-4.42033e-09,-0.839237
-4.32033e-09,-0.8390995
-4.22033e-09,-0.8390243
-4.12033e-09,-0.8390048
-4.02033e-09,-0.8390113
-3.92033e-09,-0.8389763
-3.82033e-09,-0.8389049
-3.72033e-09,-0.8389049
-3.62033e-09,-0.8389244
-3.52033e-09,-0.8388517
-3.42033e-09,-0.8388362
-3.32033e-09,-0.838975
-3.22033e-09,-0.8391267
-3.12033e-09,-0.8391579
-3.02033e-09,-0.83901
-2.92033e-09,-0.8388906
-2.82033e-09,-0.8390165
-2.72033e-09,-0.8391423
-2.62033e-09,-0.8390723
-2.52033e-09,-0.8389853
-2.42033e-09,-0.8390256
-2.32033e-09,-0.83908
-2.22033e-09,-0.8390658
-2.12033e-09,-0.8391293
-2.02033e-09,-0.8392668
-1.92033e-09,-0.8393084
-1.82033e-09,-0.839215
-1.72033e-09,-0.8391345
-1.62033e-09,-0.8390995
-1.52033e-09,-0.8389633
-1.42033e-09,-0.8387843
-1.32033e-09,-0.8387752
-1.22033e-09,-0.8389477
-1.12033e-09,-0.8390346
-1.02033e-09,-0.8389659
-9.20335e-10,-0.8389789
-8.20335e-10,-0.8390943
-7.20335e-10,-0.8391319
-6.20335e-10,-0.8391319
-5.20335e-10,-0.8391631
-4.20335e-10,-0.8391877
-3.20335e-10,-0.8391086
-2.20335e-10,-0.8389127
-1.20335e-10,-0.8387882
-2.03349e-11,-0.8387921
7.96651e-11,-0.8388271
1.79665e-10,-0.8388543
2.79665e-10,-0.8388634
3.79665e-10,-0.8388634
4.79665e-10,-0.8388608
5.79665e-10,-0.8388595
6.79665e-10,-0.8388154
7.79665e-10,-0.8386961
8.79665e-10,-0.8386623
9.79665e-10,-0.8387557
1.07967e-09,-0.8387921
1.17967e-09,-0.8387505
1.27967e-09,-0.838709
1.37967e-09,-0.8386896
1.47967e-09,-0.8386416
1.57967e-09,-0.8386117
1.67967e-09,-0.8386468
1.77967e-09,-0.8386377
1.87967e-09,-0.8385326
1.97967e-09,-0.8384146
2.07967e-09,-0.8383964
2.17967e-09,-0.8384172
2.27967e-09,-0.8384366
2.37967e-09,-0.8385326
2.47967e-09,-0.8386001
2.57967e-09,-0.8385793
2.67967e-09,-0.838591
2.77967e-09,-0.8386909
2.87967e-09,-0.8387648
2.97967e-09,-0.8387038
3.07967e-09,-0.8385949
3.17967e-09,-0.83853
3.27967e-09,-0.8385106
3.37967e-09,-0.8385144
3.47967e-09,-0.8385663
3.57967e-09,-0.8386468
3.67967e-09,-0.8386494
3.77967e-09,-0.8385858
3.87967e-09,-0.8385378
3.97967e-09,-0.8385196
4.07967e-09,-0.8385183
4.17967e-09,-0.8385235
4.27967e-09,-0.8385702
4.37967e-09,-0.838604
4.47967e-09,-0.8384859
4.57967e-09,-0.8383445
4.67967e-09,-0.8383588
4.77967e-09,-0.8384509
4.87967e-09,-0.8385157
4.97967e-09,-0.8385832
5.07967e-09,-0.8387467
5.17967e-09,-0.8389386
5.27967e-09,-0.8389931
5.37967e-09,-0.8389386
5.47967e-09,-0.838927
5.57967e-09,-0.8389763
5.67967e-09,-0.8389283
5.77967e-09,-0.8387934
5.87967e-09,-0.8387479
5.97967e-09,-0.8387505
6.07967e-09,-0.8387207
6.17967e-09,-0.8386974
6.27967e-09,-0.8386455
6.37967e-09,-0.8386558
6.47967e-09,-0.8388089
6.57967e-09,-0.8388777
6.67967e-09,-0.8387557
6.77967e-09,-0.8386027
6.87967e-09,-0.8385209
6.97967e-09,-0.8385028
7.07967e-09,-0.8385093
7.17967e-09,-0.8384781
7.27967e-09,-0.838364
7.37967e-09,-0.8382433
7.47967e-09,-0.8382719
7.57967e-09,-0.8385015
7.67967e-09,-0.8387077
7.77967e-09,-0.8387129
7.87967e-09,-0.838661
7.97967e-09,-0.8386636
8.07967e-09,-0.8386805
8.17967e-09,-0.8387363
8.27967e-09,-0.8388167
8.37967e-09,-0.8388621
8.47967e-09,-0.8388725
8.57967e-09,-0.8388245
8.67967e-09,-0.8387869
8.77967e-09,-0.8388595
8.87967e-09,-0.8389218
8.97967e-09,-0.8388634
9.07967e-09,-0.8387583
9.17967e-09,-0.8387389
9.27967e-09,-0.8388401
9.37967e-09,-0.8389218
9.47967e-09,-0.8388673
9.57967e-09,-0.838805
9.67967e-09,-0.8388167
9.77967e-09,-0.8388413
9.87967e-09,-0.8388582
9.97967e-09,-0.8388206
1.00797e-08,-0.8387869
1.01797e-08,-0.8388154
1.02797e-08,-0.8388024
1.03797e-08,-0.8387415
1.04797e-08,-0.8387
1.05797e-08,-0.8387285
1.06797e-08,-0.8388919
1.07797e-08,-0.8391384
1.08797e-08,-0.8392772
1.09797e-08,-0.8392279
