Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-08,,
Horizontal Delay,9.3157e-07,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,25.3700% to 30.3700%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.01,,
Vertical Position,-1.9,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-5.3630e-08,0.000596875,0.000290625,0.00035
-5.3230e-08,0.000642187,0.000178125,0.000379687
-5.2830e-08,0.0009,0.000110938,0.000451562
-5.2430e-08,0.00107187,0.000223438,0.000384375
-5.2030e-08,0.00115156,0.000360938,0.000254687
-5.1630e-08,0.00102187,0.000453125,9.375e-05
-5.1230e-08,0.000928125,0.00036875,6.09375e-05
-5.0830e-08,0.000910938,0.0002375,4.53125e-05
-5.0430e-08,0.00071875,0.000198438,0.000221875
-5.0030e-08,0.000759375,0.000103125,0.000315625
-4.9630e-08,0.000782812,0.000228125,0.000221875
-4.9230e-08,0.000825,0.000195312,5.625e-05
-4.8830e-08,0.00084375,0.000246875,-4.21875e-05
-4.8430e-08,0.000782812,0.000304688,-0.000198437
-4.8030e-08,0.000703125,0.000310938,-0.000279688
-4.7630e-08,0.000548437,0.000278125,-0.0001375
-4.7230e-08,0.00045,0.000115625,-5.46875e-05
-4.6830e-08,0.00030625,-1.5625e-06,3.125e-06
-4.6430e-08,0.000398437,-0.000123437,7.34375e-05
-4.6030e-08,0.000551562,-0.0001625,0.000170312
-4.5630e-08,0.000689062,-3.59375e-05,0.00023125
-4.5230e-08,0.000725,0.000164063,7.8125e-05
-4.4830e-08,0.000626562,0.000321875,-5.3125e-05
-4.4430e-08,0.000604687,0.000401563,-0.0002625
-4.4030e-08,0.000685937,0.00034375,-0.00028125
-4.3630e-08,0.000829687,0.000282812,-8.125e-05
-4.3230e-08,0.00101406,0.000240625,0.000278125
-4.2830e-08,0.001075,0.0003375,0.000571875
-4.2430e-08,0.00107031,0.00039375,0.00065625
-4.2030e-08,0.00108281,0.000365625,0.000579687
-4.1630e-08,0.00100937,0.000295313,0.000278125
-4.1230e-08,0.000970312,0.000159375,-8.28125e-05
-4.0830e-08,0.000973438,0.000126563,-0.000271875
-4.0430e-08,0.0010125,0.0002625,-0.000285937
-4.0030e-08,0.00099375,0.00029375,-0.000126562
-3.9630e-08,0.000834375,0.000265625,0.000104687
-3.9230e-08,0.0006625,0.000271875,0.000364062
-3.8830e-08,0.0007,0.000271875,0.00031875
-3.8430e-08,0.000570312,0.000190625,0.000123438
-3.8030e-08,0.000346875,-1.40625e-05,-0.000290625
-3.7630e-08,0.000226562,-0.000110938,-0.000514063
-3.7230e-08,0.0003,-6.875e-05,-0.000484375
-3.6830e-08,0.000434375,-4.84375e-05,-0.0001875
-3.6430e-08,0.0006,2.8125e-05,0.00014375
-3.6030e-08,0.00073125,0.000189062,0.000507812
-3.5630e-08,0.000764062,0.000371875,0.000660938
-3.5230e-08,0.000754688,0.000473438,0.000407813
-3.4830e-08,0.00075625,0.000320313,0.00015625
-3.4430e-08,0.00071875,0.000273438,3.125e-06
