Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-08,,
Horizontal Delay,1.29557e-06,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,16.7200% to 21.7300%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.01,,
Vertical Position,-0.28,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-3.5630e-08,0.00105938,0.000109375,0.00038125
-3.5230e-08,0.00102344,0.000114063,0.000364062
-3.4830e-08,0.000928125,6.71875e-05,0.000425
-3.4430e-08,0.00103906,-0.000101562,0.00039375
-3.4030e-08,0.00108906,-0.000153125,0.000409375
-3.3630e-08,0.00116719,-0.000125,0.000367187
-3.3230e-08,0.00125313,0.000132813,0.000385937
-3.2830e-08,0.00104844,0.000314062,0.000259375
-3.2430e-08,0.000960938,0.000345313,0.000176562
-3.2030e-08,0.000889063,0.000246875,0.000146875
-3.1630e-08,0.000989063,-2.34375e-05,4.0625e-05
-3.1230e-08,0.000939063,-0.000217188,-1.25e-05
-3.0830e-08,0.0009,-0.000275,-4.53125e-05
-3.0430e-08,0.000898438,-0.000226563,-0.00014375
-3.0030e-08,0.000820313,-0.000159375,-0.000110938
-2.9630e-08,0.0007125,-6.71875e-05,-0.00018125
-2.9230e-08,0.00055625,1.875e-05,-0.000267188
-2.8830e-08,0.000359375,2.96875e-05,-0.0003375
-2.8430e-08,0.00025625,-0.000121875,-0.000314063
-2.8030e-08,0.000170313,-0.000270313,-0.000315625
-2.7630e-08,0.000395313,-0.000364062,-0.0003375
-2.7230e-08,0.000892188,-0.00025,-0.0003625
-2.6830e-08,0.00153125,-9.53125e-05,-0.000334375
-2.6430e-08,0.00218125,0.000107813,-0.000296875
-2.6030e-08,0.00240469,0.00013125,-0.000259375
-2.5630e-08,0.00229531,0.0001,-0.000167187
-2.5230e-08,0.00185781,-7.96875e-05,-0.000167187
-2.4830e-08,0.00125938,-0.000209375,-0.000184375
-2.4430e-08,0.00050625,-0.000204688,-0.000157812
-2.4030e-08,-7.96875e-05,-9.375e-06,-0.000140625
-2.3630e-08,-0.000465625,0.000296875,-0.000134375
-2.3230e-08,-0.000434375,0.0003625,-0.000114063
-2.2830e-08,2.5e-05,0.0002125,-0.000114063
-2.2430e-08,0.000554688,-3.4375e-05,-0.000135938
-2.2030e-08,0.00111406,-0.000170312,-0.000170313
-2.1630e-08,0.00155938,-0.000178125,-0.000221875
-2.1230e-08,0.00165,-0.000235937,-0.000278125
-2.0830e-08,0.0014875,-0.000128125,-0.000315625
-2.0430e-08,0.00123594,-2.34375e-05,-0.000353125
-2.0030e-08,0.00102031,9.84375e-05,-0.000414062
-1.9630e-08,0.000795313,0.000165625,-0.000410937
-1.9230e-08,0.000521875,1.40625e-05,-0.000465625
-1.8830e-08,0.000509375,-0.000229687,-0.000465625
-1.8430e-08,0.000484375,-0.000398438,-0.000495313
-1.8030e-08,0.000596875,-0.000446875,-0.000534375
-1.7630e-08,0.000745313,-0.000340625,-0.000473437
-1.7230e-08,0.000864063,-9.21875e-05,-0.0004875
