Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-08,
Horizontal Delay,1.29557e-06,
Sample Interval,4e-10,
Record Length,10000,
Gating,16.7200% to 21.7300%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Vertical Position,-0.08,
,,
,,
,,
Label,,
TIME,CH3,CH4
-3.5630e-08,0.0004,-0.0008
-3.5230e-08,0.0004,-0.0016
-3.4830e-08,0,-0.0016
-3.4430e-08,0,-0.0008
-3.4030e-08,-0.0004,-0.0008
-3.3630e-08,-0.0004,-0.0012
-3.3230e-08,0.0004,0.0004
-3.2830e-08,0.0008,0
-3.2430e-08,0.0008,0.0012
-3.2030e-08,0.0012,0.0024
-3.1630e-08,0.0008,0.0032
-3.1230e-08,0.0004,0.0036
-3.0830e-08,0,0.0044
-3.0430e-08,-0.0004,0.0052
-3.0030e-08,-0.0008,0.0048
-2.9630e-08,-0.0008,0.0048
-2.9230e-08,-0.0004,0.0048
-2.8830e-08,-0.0004,0.0044
-2.8430e-08,-0.0004,0.0044
-2.8030e-08,-0.0004,0.0036
-2.7630e-08,0,0.0032
-2.7230e-08,0,0.002
-2.6830e-08,0,0.0012
-2.6430e-08,0.0004,0.0004
-2.6030e-08,0.0004,-0.0004
-2.5630e-08,0,-0.0016
-2.5230e-08,-0.0004,-0.002
-2.4830e-08,-0.0008,-0.0028
-2.4430e-08,-0.0004,-0.0036
-2.4030e-08,0.0004,-0.004
-2.3630e-08,0.0012,-0.004
-2.3230e-08,0.0016,-0.0028
-2.2830e-08,0.0012,-0.0028
-2.2430e-08,0.0004,-0.0028
-2.2030e-08,-0.0004,-0.0028
-2.1630e-08,-0.0004,-0.0028
-2.1230e-08,0,-0.0016
-2.0830e-08,0,-0.0004
-2.0430e-08,0.0008,0.0004
-2.0030e-08,0.0008,0.0012
-1.9630e-08,0.0008,0.0012
-1.9230e-08,0.0004,0.0028
-1.8830e-08,0.0004,0.0028
-1.8430e-08,0,0.0028
-1.8030e-08,-0.0004,0.0028
-1.7630e-08,-0.0008,0.0028
-1.7230e-08,0,0.0028
-1.6830e-08,0.0004,0.0012
-1.6430e-08,0,0.0008
-1.6030e-08,-0.0004,0
-1.5630e-08,-0.0004,-0.0008
-1.5230e-08,-0.0008,-0.0016
-1.4830e-08,-0.0004,-0.0024
-1.4430e-08,0,-0.0032
-1.4030e-08,-0.0004,-0.004
-1.3630e-08,0.0004,-0.0052
-1.3230e-08,0.0004,-0.0056
-1.2830e-08,0.0004,-0.0064
-1.2430e-08,0.0004,-0.0064
-1.2030e-08,0,-0.0064
-1.1630e-08,0.0004,-0.0064
-1.1230e-08,0.0004,-0.0064
-1.0830e-08,0.0004,-0.0064
-1.0430e-08,-0.0004,-0.006
-1.0030e-08,0,-0.0048
-9.6300e-09,-0.0004,-0.0036
-9.2300e-09,-0.0012,-0.002
-8.8300e-09,-0.0008,-0.0008
-8.4300e-09,-0.0004,0
-8.0300e-09,0.0004,0.0004
-7.6300e-09,0.0008,0.0016
-7.2300e-09,0.0008,0.0016
-6.8300e-09,0.0004,0.0016
