LECROYWaveRunner,41075,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,12-Nov-2024 18:55:50,0                 
Time,Ampl
-1.18991e-08,-0.8347187
-1.17991e-08,-0.8346098
-1.16991e-08,-0.8345449
-1.15991e-08,-0.8345695
-1.14991e-08,-0.8346059
-1.13991e-08,-0.8345384
-1.12991e-08,-0.8344346
-1.11991e-08,-0.8344191
-1.10991e-08,-0.8345228
-1.09991e-08,-0.8346046
-1.08991e-08,-0.8345514
-1.07991e-08,-0.8344878
-1.06991e-08,-0.8345436
-1.05991e-08,-0.8346007
-1.04991e-08,-0.8345864
-1.03991e-08,-0.8346033
-1.02991e-08,-0.8346642
-1.01991e-08,-0.8347473
-1.00991e-08,-0.8348809
-9.99912e-09,-0.8349146
-9.89912e-09,-0.834816
-9.79912e-09,-0.834733
-9.69912e-09,-0.8346539
-9.59912e-09,-0.8346616
-9.49912e-09,-0.8348186
-9.39912e-09,-0.8349782
-9.29912e-09,-0.8350988
-9.19912e-09,-0.8351442
-9.09912e-09,-0.8351027
-8.99912e-09,-0.8350599
-8.89912e-09,-0.8349937
-8.79912e-09,-0.8348705
-8.69912e-09,-0.8347083
-8.59912e-09,-0.8346201
-8.49912e-09,-0.834685
-8.39912e-09,-0.8348017
-8.29912e-09,-0.8349146
-8.19912e-09,-0.835056
-8.09912e-09,-0.8351728
-7.99912e-09,-0.8351351
-7.89912e-09,-0.8349016
-7.79912e-09,-0.8346059
-7.69912e-09,-0.8344048
-7.59912e-09,-0.8343775
-7.49912e-09,-0.8344126
-7.39912e-09,-0.8344022
-7.29912e-09,-0.834384
-7.19912e-09,-0.8344178
-7.09912e-09,-0.8344917
-6.99912e-09,-0.8345384
-6.89912e-09,-0.8345527
-6.79912e-09,-0.8345086
-6.69912e-09,-0.8344268
-6.59912e-09,-0.8343775
-6.49912e-09,-0.8344074
-6.39912e-09,-0.8344865
-6.29912e-09,-0.8344943
-6.19912e-09,-0.8344774
-6.09912e-09,-0.8345514
-5.99912e-09,-0.8346098
-5.89912e-09,-0.8345916
-5.79912e-09,-0.8346033
-5.69912e-09,-0.8346629
-5.59912e-09,-0.834659
-5.49912e-09,-0.8345968
-5.39912e-09,-0.8345514
-5.29912e-09,-0.8345345
-5.19912e-09,-0.8345773
-5.09912e-09,-0.8347019
-4.99912e-09,-0.8348264
-4.89912e-09,-0.8348861
-4.79912e-09,-0.8348964
-4.69912e-09,-0.8348887
-4.59912e-09,-0.8349224
-4.49912e-09,-0.8349509
-4.39912e-09,-0.8348757
-4.29912e-09,-0.8348549
-4.19912e-09,-0.834947
-4.09912e-09,-0.8349341
-3.99912e-09,-0.8348549
-3.89912e-09,-0.8349315
-3.79912e-09,-0.8350962
-3.69912e-09,-0.8351559
-3.59912e-09,-0.8351118
-3.49912e-09,-0.8351066
-3.39912e-09,-0.8351585
-3.29912e-09,-0.8351533
-3.19912e-09,-0.8350495
-3.09912e-09,-0.8348861
-2.99912e-09,-0.8347473
-2.89912e-09,-0.8346889
-2.79912e-09,-0.8346383
-2.69912e-09,-0.8345306
-2.59912e-09,-0.834375
-2.49912e-09,-0.8342452
-2.39912e-09,-0.8342336
-2.29912e-09,-0.8342608
-2.19912e-09,-0.8341972
-2.09912e-09,-0.8340986
-1.99912e-09,-0.8340416
-1.89912e-09,-0.8340714
-1.79912e-09,-0.8341077
-1.69912e-09,-0.8341285
-1.59912e-09,-0.8341765
-1.49912e-09,-0.8341207
-1.39912e-09,-0.8340636
-1.29912e-09,-0.8342141
-1.19912e-09,-0.8344268
-1.09912e-09,-0.8345034
-9.99119e-10,-0.8344139
-8.99119e-10,-0.8342828
-7.99119e-10,-0.8342102
-6.99119e-10,-0.8341894
-5.99119e-10,-0.8342387
-4.99119e-10,-0.8343257
-3.99119e-10,-0.834375
-2.99119e-10,-0.834432
-1.99119e-10,-0.834506
-9.91189e-11,-0.8345449
8.81053e-13,-0.8345553
1.00881e-10,-0.8345514
2.00881e-10,-0.8345462
3.00881e-10,-0.8345436
4.00881e-10,-0.8345851
5.00881e-10,-0.8347057
6.00881e-10,-0.8348277
7.00881e-10,-0.8348861
8.00881e-10,-0.8348523
9.00881e-10,-0.834768
1.00088e-09,-0.8347135
1.10088e-09,-0.8346526
1.20088e-09,-0.8345786
1.30088e-09,-0.8345825
1.40088e-09,-0.8346928
1.50088e-09,-0.8348186
1.60088e-09,-0.8348822
1.70088e-09,-0.8348082
1.80088e-09,-0.8346046
1.90088e-09,-0.8345164
2.00088e-09,-0.834637
2.10088e-09,-0.834707
2.20088e-09,-0.8346396
2.30088e-09,-0.8346136
2.40088e-09,-0.8346123
2.50088e-09,-0.8345306
2.60088e-09,-0.8344268
2.70088e-09,-0.8344606
2.80088e-09,-0.8346435
2.90088e-09,-0.8347265
3.00088e-09,-0.8346085
3.10088e-09,-0.8345423
3.20088e-09,-0.834611
3.30088e-09,-0.8345942
3.40088e-09,-0.8344748
3.50088e-09,-0.8344346
3.60088e-09,-0.83448
3.70088e-09,-0.8344813
3.80088e-09,-0.8344696
3.90088e-09,-0.8345488
4.00088e-09,-0.834611
4.10088e-09,-0.8345475
4.20088e-09,-0.8344398
4.30088e-09,-0.8344217
4.40088e-09,-0.8345228
4.50088e-09,-0.8346915
4.60088e-09,-0.8347901
4.70088e-09,-0.8347745
4.80088e-09,-0.8347356
4.90088e-09,-0.834624
5.00088e-09,-0.8344632
5.10088e-09,-0.8344178
5.20088e-09,-0.8344709
5.30088e-09,-0.8344787
5.40088e-09,-0.8344268
5.50088e-09,-0.8344281
5.60088e-09,-0.8344891
5.70088e-09,-0.834576
5.80088e-09,-0.8346694
5.90088e-09,-0.834672
6.00088e-09,-0.8346046
6.10088e-09,-0.834554
6.20088e-09,-0.8345332
6.30088e-09,-0.8345332
6.40088e-09,-0.8345812
6.50088e-09,-0.8346616
6.60088e-09,-0.8346642
6.70088e-09,-0.8345566
6.80088e-09,-0.8344333
6.90088e-09,-0.8343685
7.00088e-09,-0.8342686
7.10088e-09,-0.834122
7.20088e-09,-0.8340416
7.30088e-09,-0.8340195
7.40088e-09,-0.8340688
7.50088e-09,-0.8341129
7.60088e-09,-0.8340883
7.70088e-09,-0.8340143
7.80088e-09,-0.8339222
7.90088e-09,-0.8339611
8.00088e-09,-0.8341025
8.10088e-09,-0.8341972
8.20088e-09,-0.8342738
8.30088e-09,-0.8344359
8.40088e-09,-0.8346668
8.50088e-09,-0.8347537
8.60088e-09,-0.8346227
8.70088e-09,-0.8345462
8.80088e-09,-0.834611
8.90088e-09,-0.834637
9.00088e-09,-0.8345942
9.10088e-09,-0.8345994
9.20088e-09,-0.8347019
9.30088e-09,-0.8348199
9.40088e-09,-0.8348368
9.50088e-09,-0.8347758
9.60088e-09,-0.8347667
9.70088e-09,-0.8348212
9.80088e-09,-0.834864
9.90088e-09,-0.8348381
1.00009e-08,-0.8347628
1.01009e-08,-0.8347135
1.02009e-08,-0.8346539
1.03009e-08,-0.8346214
1.04009e-08,-0.8347032
1.05009e-08,-0.8347706
1.06009e-08,-0.8347122
1.07009e-08,-0.8346072
1.08009e-08,-0.8345436
1.09009e-08,-0.8345254
1.10009e-08,-0.8345721
1.11009e-08,-0.8346565
1.12009e-08,-0.8346629
1.13009e-08,-0.8346007
1.14009e-08,-0.8345527
1.15009e-08,-0.8344904
1.16009e-08,-0.8344139
1.17009e-08,-0.8343724
1.18009e-08,-0.8343633
1.19009e-08,-0.8343672
1.20009e-08,-0.8343724
1.21009e-08,-0.8343321
1.22009e-08,-0.8342569
1.23009e-08,-0.8342984
1.24009e-08,-0.8344372
1.25009e-08,-0.8345306
1.26009e-08,-0.8345618
1.27009e-08,-0.8345176
1.28009e-08,-0.8343866
1.29009e-08,-0.8342595
1.30009e-08,-0.8341985
1.31009e-08,-0.8342323
1.32009e-08,-0.8344035
1.33009e-08,-0.834611
1.34009e-08,-0.8347187
1.35009e-08,-0.8347421
1.36009e-08,-0.8347317
1.37009e-08,-0.8347174
1.38009e-08,-0.8346655
1.39009e-08,-0.8345436
1.40009e-08,-0.8344229
1.41009e-08,-0.8343218
1.42009e-08,-0.8342348
1.43009e-08,-0.8343283
1.44009e-08,-0.8345968
1.45009e-08,-0.8347719
1.46009e-08,-0.8347862
1.47009e-08,-0.8347499
1.48009e-08,-0.8346746
1.49009e-08,-0.8345423
1.50009e-08,-0.8343308
